,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630886973870,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion,",379,[],0,,5,30,0.9,1,0,0.5,0
1,text-insert,user,1630886992010,"{'ops': [{'retain': 379}, {'insert': ' '}]}",,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,,5,30,0.9,1,0,0.5,1
2,suggestion-get,user,1630886992308,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,,5,30,0.9,1,0,0.5,2
3,suggestion-open,api,1630886994354,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,"[{'index': 0, 'original': 'technology makes for an extremely impersonal way of dating.', 'trimmed': 'technology makes for an extremely impersonal way of dating.', 'probability': 9.16535637814429e-28}, {'index': 1, 'original': 'technology improves dating and relationships in many ways.', 'trimmed': 'technology improves dating and relationships in many ways.', 'probability': 1.0025763542523951e-21}, {'index': 2, 'original': 'dating has changed immensely in the last couple of decades.', 'trimmed': 'dating has changed immensely in the last couple of decades.', 'probability': 2.0992048932912464e-33}, {'index': 3, 'original': ""I really don't think social media has brought anything good to the dating world."", 'trimmed': ""I really don't think social media has brought anything good to the dating world."", 'probability': 5.713956768214739e-25}, {'index': 4, 'original': 'dating apps and social media have made dating and relationships much worse than they used to be.', 'trimmed': 'dating apps and social media have made dating and relationships much worse than they used to be.', 'probability': 1.4513296679797446e-26}]",0,,5,30,0.9,1,0,0.5,3
4,suggestion-hover,user,1630886996603,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,3,5,30,0.9,1,0,0.5,4
5,suggestion-hover,user,1630886996636,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,2,5,30,0.9,1,0,0.5,5
6,suggestion-hover,user,1630886996778,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,1,5,30,0.9,1,0,0.5,6
7,suggestion-hover,user,1630886997842,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,0,5,30,0.9,1,0,0.5,7
8,suggestion-select,user,1630887000407,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,0,5,30,0.9,1,0,0.5,8
9,suggestion-close,api,1630887000407,,,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, ",380,[],0,0,5,30,0.9,1,0,0.5,9
10,text-insert,api,1630887000413,"{'ops': [{'retain': 380}, {'insert': 'technology makes for an extremely impersonal way of dating.'}]}",,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, technology makes for an extremely impersonal way of dating.",439,[],0,0,5,30,0.9,1,0,0.5,10
11,text-insert,user,1630887001096,"{'ops': [{'retain': 439}, {'insert': ' '}]}",,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, technology makes for an extremely impersonal way of dating. ",440,[],0,0,5,30,0.9,1,0,0.5,11
12,text-insert,user,1630887002902,"{'ops': [{'retain': 440}, {'insert': 'W'}]}",,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, technology makes for an extremely impersonal way of dating. W",441,[],0,0,5,30,0.9,1,0,0.5,12
13,text-insert,user,1630887003185,"{'ops': [{'retain': 441}, {'insert': 'h'}]}",,"How Do You Think Technology Affects Dating?

Have you had any experience with dating? Have you ever used dating apps? If so, what has it been like for you? If not, why not?

How do you think technology — like apps, Netflix, social media and texting — affects dating and relationships? In your opinion, does it improve or worsen romantic interactions? How so?

---

In my opinion, technology makes for an extremely impersonal way of dating. Wh",442,[],0,0,5,30,0.9,1,0,0.5,13
