,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629371971095,,,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,",336,[],0,,5,30,0.2,1,0,0.5,0
1,cursor-select,user,1629371977298,,"{'index': 322, 'length': 14}","What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,",322,[],0,,5,30,0.2,1,0,0.5,1
2,text-insert,user,1629371985199,"{'ops': [{'retain': 322}, {'insert': 'S'}, {'delete': 14}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

S",323,[],0,,5,30,0.2,1,0,0.5,2
3,text-insert,user,1629371986326,"{'ops': [{'retain': 323}, {'insert': 'c'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

Sc",324,[],0,,5,30,0.2,1,0,0.5,3
4,text-insert,user,1629371986854,"{'ops': [{'retain': 324}, {'insert': 'h'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

Sch",325,[],0,,5,30,0.2,1,0,0.5,4
5,text-insert,user,1629371987230,"{'ops': [{'retain': 325}, {'insert': 'o'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

Scho",326,[],0,,5,30,0.2,1,0,0.5,5
6,text-insert,user,1629371987374,"{'ops': [{'retain': 326}, {'insert': 'o'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

Schoo",327,[],0,,5,30,0.2,1,0,0.5,6
7,text-insert,user,1629371987630,"{'ops': [{'retain': 327}, {'insert': 'l'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School",328,[],0,,5,30,0.2,1,0,0.5,7
8,text-insert,user,1629371987912,"{'ops': [{'retain': 328}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School ",329,[],0,,5,30,0.2,1,0,0.5,8
9,text-insert,user,1629371988094,"{'ops': [{'retain': 329}, {'insert': 'f'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School f",330,[],0,,5,30,0.2,1,0,0.5,9
10,text-insert,user,1629371988238,"{'ops': [{'retain': 330}, {'insert': 'o'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School fo",331,[],0,,5,30,0.2,1,0,0.5,10
11,text-insert,user,1629371988310,"{'ops': [{'retain': 331}, {'insert': 'r'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for",332,[],0,,5,30,0.2,1,0,0.5,11
12,text-insert,user,1629371988630,"{'ops': [{'retain': 332}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for ",333,[],0,,5,30,0.2,1,0,0.5,12
13,text-insert,user,1629371988894,"{'ops': [{'retain': 333}, {'insert': 'm'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for m",334,[],0,,5,30,0.2,1,0,0.5,13
14,text-insert,user,1629371988998,"{'ops': [{'retain': 334}, {'insert': 'e'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me",335,[],0,,5,30,0.2,1,0,0.5,14
15,text-insert,user,1629371989174,"{'ops': [{'retain': 335}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me ",336,[],0,,5,30,0.2,1,0,0.5,15
16,text-insert,user,1629371989438,"{'ops': [{'retain': 336}, {'insert': 'w'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me w",337,[],0,,5,30,0.2,1,0,0.5,16
17,text-insert,user,1629371989659,"{'ops': [{'retain': 337}, {'insert': 'a'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me wa",338,[],0,,5,30,0.2,1,0,0.5,17
18,text-insert,user,1629371989814,"{'ops': [{'retain': 338}, {'insert': 's'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was",339,[],0,,5,30,0.2,1,0,0.5,18
19,text-insert,user,1629371989966,"{'ops': [{'retain': 339}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was ",340,[],0,,5,30,0.2,1,0,0.5,19
20,text-insert,user,1629371990078,"{'ops': [{'retain': 340}, {'insert': 'a'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a",341,[],0,,5,30,0.2,1,0,0.5,20
21,text-insert,user,1629371990150,"{'ops': [{'retain': 341}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a ",342,[],0,,5,30,0.2,1,0,0.5,21
22,text-insert,user,1629371990342,"{'ops': [{'retain': 342}, {'insert': 's'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a s",343,[],0,,5,30,0.2,1,0,0.5,22
23,text-insert,user,1629371990550,"{'ops': [{'retain': 343}, {'insert': 'e'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a se",344,[],0,,5,30,0.2,1,0,0.5,23
24,text-insert,user,1629371990645,"{'ops': [{'retain': 344}, {'insert': 'm'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a sem",345,[],0,,5,30,0.2,1,0,0.5,24
25,text-insert,user,1629371990838,"{'ops': [{'retain': 345}, {'insert': 'i'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a semi",346,[],0,,5,30,0.2,1,0,0.5,25
26,text-insert,user,1629371991006,"{'ops': [{'retain': 346}, {'insert': 'n'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a semin",347,[],0,,5,30,0.2,1,0,0.5,26
27,text-insert,user,1629371991150,"{'ops': [{'retain': 347}, {'insert': 'a'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a semina",348,[],0,,5,30,0.2,1,0,0.5,27
28,text-insert,user,1629371991230,"{'ops': [{'retain': 348}, {'insert': 'l'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

School for me was a seminal",349,[],0,,5,30,0.2,1,0,0.5,28
