,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629724002206,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion,",344,[],0,,5,30,0.9,1,0,0.5,0
1,text-insert,user,1629724030982,"{'ops': [{'retain': 344}, {'insert': ' '}]}",,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, ",345,[],0,,5,30,0.9,1,0,0.5,1
2,suggestion-get,user,1629724031237,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, ",345,[],0,,5,30,0.9,1,0,0.5,2
3,suggestion-open,api,1629724032901,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, ",345,"[{'index': 0, 'original': 'I think that it is only natural to want to know what is going on in your neighborhood, and the country you live in.', 'trimmed': 'I think that it is only natural to want to know what is going on in your neighborhood, and the country you live in.', 'probability': 1.6806059919596992e-19}, {'index': 1, 'original': 'not keeping up with the news is not so much being bad citizens, but more that we are just too busy to have time to pay attention to every', 'trimmed': 'not keeping up with the news is not so much being bad citizens, but more that we are just too busy to have time to pay attention to every', 'probability': 2.010051705523023e-18}, {'index': 2, 'original': ""we are being bad citizens if we don't keep up with the news."", 'trimmed': ""we are being bad citizens if we don't keep up with the news."", 'probability': 1.1335681151869584e-05}, {'index': 3, 'original': 'everyone has responsibility in keeping their self updated with the news - although, everyone has different ways and ways to do it.', 'trimmed': 'everyone has responsibility in keeping their self updated with the news - although, everyone has different ways and ways to do it.', 'probability': 3.5210491476675185e-32}, {'index': 4, 'original': 'I actually think yes, we are being bad citizens if we ignore the news.', 'trimmed': 'I actually think yes, we are being bad citizens if we ignore the news.', 'probability': 2.816578599816912e-19}]",0,,5,30,0.9,1,0,0.5,3
4,suggestion-hover,user,1629724037687,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, ",345,[],0,4,5,30,0.9,1,0,0.5,4
5,suggestion-select,user,1629724037955,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, ",345,[],4,4,5,30,0.9,1,0,0.5,5
6,suggestion-close,api,1629724037955,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, ",345,[],4,4,5,30,0.9,1,0,0.5,6
7,text-insert,api,1629724037961,"{'ops': [{'retain': 345}, {'insert': 'I actually think yes, we are being bad citizens if we ignore the news.'}]}",,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, I actually think yes, we are being bad citizens if we ignore the news.",415,[],4,4,5,30,0.9,1,0,0.5,7
8,text-insert,user,1629724049178,"{'ops': [{'retain': 415}, {'insert': ' '}]}",,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, I actually think yes, we are being bad citizens if we ignore the news. ",416,[],4,4,5,30,0.9,1,0,0.5,8
9,suggestion-get,user,1629724050892,,,"Are We Being Bad Citizens If We Don't Keep Up With the News?

In your opinion, are we being bad citizens if we don't keep up with the news? Do you think all people have some responsibility to know what is going on in the world? Does engaging with current events actually do anything at all? Why do you think the way you do?

---

In my opinion, I actually think yes, we are being bad citizens if we ignore the news. ",416,[],4,4,5,30,0.9,1,0,0.5,9
