,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629668305593,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion,",472,[],0,,5,30,0.2,1,0,0.5,0
1,text-insert,user,1629668313173,"{'ops': [{'retain': 472}, {'insert': ' '}]}",,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,,5,30,0.2,1,0,0.5,1
2,suggestion-get,user,1629668316376,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,,5,30,0.2,1,0,0.5,2
3,suggestion-open,api,1629668318182,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,"[{'index': 0, 'original': 'we should embrace the benefits of our digital devices.', 'trimmed': 'we should embrace the benefits of our digital devices.', 'probability': 2.861059040407357e-12}, {'index': 1, 'original': 'the answer is both.', 'trimmed': 'the answer is both.', 'probability': 1.0973875262568634e-08}, {'index': 2, 'original': 'we should be worried.', 'trimmed': 'we should be worried.', 'probability': 8.608425492088718e-12}]",0,,5,30,0.2,1,0,0.5,3
4,suggestion-hover,user,1629668319793,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,0,5,30,0.2,1,0,0.5,4
5,suggestion-hover,user,1629668321675,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,1,5,30,0.2,1,0,0.5,5
6,suggestion-hover,user,1629668321925,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,2,5,30,0.2,1,0,0.5,6
7,suggestion-select,user,1629668323022,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,2,5,30,0.2,1,0,0.5,7
8,suggestion-close,api,1629668323022,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, ",473,[],0,2,5,30,0.2,1,0,0.5,8
9,text-insert,api,1629668323027,"{'ops': [{'retain': 473}, {'insert': 'we should be worried.'}]}",,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, we should be worried.",494,[],0,2,5,30,0.2,1,0,0.5,9
10,text-insert,user,1629668324315,"{'ops': [{'retain': 494}, {'insert': ' '}]}",,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, we should be worried. ",495,[],0,2,5,30,0.2,1,0,0.5,10
11,suggestion-get,user,1629668327362,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, we should be worried. ",495,[],0,2,5,30,0.2,1,0,0.5,11
12,suggestion-open,api,1629668329117,,,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, we should be worried. ",495,"[{'index': 0, 'original': '\n\nThe screen time debate is not over.', 'trimmed': 'The screen time debate is not over.', 'probability': 8.879667621284761e-14}, {'index': 1, 'original': '\n\nWe should be worried about the fact that we are all spending more time on our screens than ever before.', 'trimmed': 'We should be worried about the fact that we are all spending more time on our screens than ever before.', 'probability': 9.914150903463761e-11}, {'index': 2, 'original': ""\n\nWe should be worried about the impact of screen time on our children's development."", 'trimmed': ""We should be worried about the impact of screen time on our children's development."", 'probability': 5.745140927894734e-09}, {'index': 3, 'original': '\n\nI am worried about the negative effects of screen time on our children.', 'trimmed': 'I am worried about the negative effects of screen time on our children.', 'probability': 2.0457145439948587e-11}, {'index': 4, 'original': '\n\nWe should be worried about the impact of screen time on our children, our families and our communities.', 'trimmed': 'We should be worried about the impact of screen time on our children, our families and our communities.', 'probability': 1.3391219423928042e-10}]",0,2,5,30,0.2,1,0,0.5,12
