,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630066313118,,,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,",336,[],0,,5,30,0.9,1,0,0.5,0
1,text-insert,user,1630066320178,"{'ops': [{'retain': 336}, {'insert': '`'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,`",337,[],0,,5,30,0.9,1,0,0.5,1
2,text-insert,user,1630066320714,"{'ops': [{'retain': 337}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` ",338,[],0,,5,30,0.9,1,0,0.5,2
3,text-insert,user,1630066320913,"{'ops': [{'retain': 338}, {'insert': 't'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` t",339,[],0,,5,30,0.9,1,0,0.5,3
4,text-insert,user,1630066321008,"{'ops': [{'retain': 339}, {'insert': 'h'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` th",340,[],0,,5,30,0.9,1,0,0.5,4
5,text-insert,user,1630066321137,"{'ops': [{'retain': 340}, {'insert': 'e'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the",341,[],0,,5,30,0.9,1,0,0.5,5
6,text-insert,user,1630066321217,"{'ops': [{'retain': 341}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the ",342,[],0,,5,30,0.9,1,0,0.5,6
7,text-insert,user,1630066321361,"{'ops': [{'retain': 342}, {'insert': 'm'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the m",343,[],0,,5,30,0.9,1,0,0.5,7
8,text-insert,user,1630066321441,"{'ops': [{'retain': 343}, {'insert': 'o'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the mo",344,[],0,,5,30,0.9,1,0,0.5,8
9,text-insert,user,1630066321522,"{'ops': [{'retain': 344}, {'insert': 's'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the mos",345,[],0,,5,30,0.9,1,0,0.5,9
10,text-insert,user,1630066321697,"{'ops': [{'retain': 345}, {'insert': 't'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the most",346,[],0,,5,30,0.9,1,0,0.5,10
11,text-delete,user,1630066321801,"{'ops': [{'retain': 345}, {'delete': 1}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the mos",345,[],0,,5,30,0.9,1,0,0.5,11
12,text-delete,user,1630066321945,"{'ops': [{'retain': 344}, {'delete': 1}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the mo",344,[],0,,5,30,0.9,1,0,0.5,12
13,text-delete,user,1630066322458,"{'ops': [{'retain': 343}, {'delete': 1}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,` the m",343,[],0,,5,30,0.9,1,0,0.5,13
