,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630851611339,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion,",250,[],0,,5,30,0.2,1,0,0.5,0
1,cursor-select,user,1630851612582,,"{'index': 236, 'length': 14}","What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion,",236,[],0,,5,30,0.2,1,0,0.5,1
2,text-delete,user,1630851613830,"{'ops': [{'retain': 236}, {'delete': 14}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

",236,[],0,,5,30,0.2,1,0,0.5,2
3,text-insert,user,1630851614739,"{'ops': [{'retain': 236}, {'insert': 'T'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

T",237,[],0,,5,30,0.2,1,0,0.5,3
4,text-insert,user,1630851614874,"{'ops': [{'retain': 237}, {'insert': 'h'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

Th",238,[],0,,5,30,0.2,1,0,0.5,4
5,text-insert,user,1630851614987,"{'ops': [{'retain': 238}, {'insert': 'e'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

The",239,[],0,,5,30,0.2,1,0,0.5,5
6,text-insert,user,1630851615115,"{'ops': [{'retain': 239}, {'insert': ' '}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

The ",240,[],0,,5,30,0.2,1,0,0.5,6
7,text-insert,user,1630851615250,"{'ops': [{'retain': 240}, {'insert': 'k'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

The k",241,[],0,,5,30,0.2,1,0,0.5,7
8,text-insert,user,1630851615442,"{'ops': [{'retain': 241}, {'insert': 'i'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

The ki",242,[],0,,5,30,0.2,1,0,0.5,8
9,text-insert,user,1630851615522,"{'ops': [{'retain': 242}, {'insert': 'n'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

The kin",243,[],0,,5,30,0.2,1,0,0.5,9
