,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629919564994,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion,",442,[],0,,5,30,0.9,1,0,0.5,0
1,text-insert,user,1629919566446,"{'ops': [{'retain': 442}, {'insert': ' '}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,[],0,,5,30,0.9,1,0,0.5,1
2,suggestion-get,user,1629919567001,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,[],0,,5,30,0.9,1,0,0.5,2
3,suggestion-open,api,1629919568893,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,"[{'index': 0, 'original': 'any endeavors that involve risking one’s own safety are inherently selfish.', 'trimmed': 'any endeavors that involve risking one’s own safety are inherently selfish.', 'probability': 5.216648829930013e-30}, {'index': 1, 'original': 'as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered', 'trimmed': 'as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered', 'probability': 2.3987461815030458e-20}, {'index': 2, 'original': 'the answer is no.', 'trimmed': 'the answer is no.', 'probability': 3.2898063217123756e-20}, {'index': 3, 'original': 'there is no way to determine the answer to this question.', 'trimmed': 'there is no way to determine the answer to this question.', 'probability': 3.234889561775473e-29}, {'index': 4, 'original': 'there is a fine line between what constitutes acceptable risk and dangerous behavior.', 'trimmed': 'there is a fine line between what constitutes acceptable risk and dangerous behavior.', 'probability': 1.304310160173073e-29}]",0,,5,30,0.9,1,0,0.5,3
4,suggestion-hover,user,1629919571710,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,[],0,0,5,30,0.9,1,0,0.5,4
5,suggestion-hover,user,1629919571859,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,[],0,1,5,30,0.9,1,0,0.5,5
6,suggestion-select,user,1629919573995,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,[],1,1,5,30,0.9,1,0,0.5,6
7,suggestion-close,api,1629919573995,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, ",443,[],1,1,5,30,0.9,1,0,0.5,7
8,text-insert,api,1629919573999,"{'ops': [{'retain': 443}, {'insert': 'as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered",608,[],1,1,5,30,0.9,1,0,0.5,8
9,text-insert,user,1629919574713,"{'ops': [{'retain': 608}, {'insert': ' '}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered ",609,[],1,1,5,30,0.9,1,0,0.5,9
10,suggestion-get,user,1629919575017,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered ",609,[],1,1,5,30,0.9,1,0,0.5,10
11,suggestion-open,api,1629919577130,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered ",609,"[{'index': 0, 'original': 'a sport.', 'trimmed': 'a sport.', 'probability': 3.1328471663096087e-18}]",0,1,5,30,0.9,1,0,0.5,11
12,suggestion-hover,user,1629919578191,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered ",609,[],0,0,5,30,0.9,1,0,0.5,12
13,suggestion-select,user,1629919578816,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered ",609,[],0,0,5,30,0.9,1,0,0.5,13
14,suggestion-close,api,1629919578816,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered ",609,[],0,0,5,30,0.9,1,0,0.5,14
15,text-insert,api,1629919578819,"{'ops': [{'retain': 609}, {'insert': 'a sport.'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",617,[],0,0,5,30,0.9,1,0,0.5,15
16,cursor-select,user,1629919582150,,"{'index': 458, 'length': 4}","Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the sport in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",458,[],0,0,5,30,0.9,1,0,0.5,16
17,text-insert,user,1629919582620,"{'ops': [{'retain': 458}, {'insert': 'a'}, {'delete': 4}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the at in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",459,[],0,0,5,30,0.9,1,0,0.5,17
18,text-insert,user,1629919582822,"{'ops': [{'retain': 459}, {'insert': 'c'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the act in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",460,[],0,0,5,30,0.9,1,0,0.5,18
19,text-insert,user,1629919583044,"{'ops': [{'retain': 461}, {'insert': 't'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the actt in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",461,[],0,0,5,30,0.9,1,0,0.5,19
20,text-insert,user,1629919583175,"{'ops': [{'retain': 461}, {'insert': 'i'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the actit in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",462,[],0,0,5,30,0.9,1,0,0.5,20
21,text-insert,user,1629919583319,"{'ops': [{'retain': 462}, {'insert': 'v'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activt in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",463,[],0,0,5,30,0.9,1,0,0.5,21
22,text-insert,user,1629919583495,"{'ops': [{'retain': 463}, {'insert': 'i'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activit in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",464,[],0,0,5,30,0.9,1,0,0.5,22
23,text-insert,user,1629919583661,"{'ops': [{'retain': 465}, {'insert': 't'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activitt in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",465,[],0,0,5,30,0.9,1,0,0.5,23
24,text-insert,user,1629919583780,"{'ops': [{'retain': 465}, {'insert': 'y'}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activityt in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",466,[],0,0,5,30,0.9,1,0,0.5,24
25,cursor-forward,user,1629919587820,,"{'index': 467, 'length': 0}","Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activityt in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",467,[],0,0,5,30,0.9,1,0,0.5,25
26,text-delete,user,1629919587822,"{'ops': [{'retain': 466}, {'delete': 1}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",466,[],0,0,5,30,0.9,1,0,0.5,26
27,cursor-forward,user,1629919589431,,"{'index': 620, 'length': 0}","Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport.",620,[],0,0,5,30,0.9,1,0,0.5,27
28,text-insert,user,1629919589631,"{'ops': [{'retain': 620}, {'insert': ' '}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. ",621,[],0,0,5,30,0.9,1,0,0.5,28
29,suggestion-get,user,1629919590749,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. ",621,[],0,0,5,30,0.9,1,0,0.5,29
30,suggestion-open,api,1629919592565,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. ",621,"[{'index': 0, 'original': ""There are risks involved in all sports—if you decide it's too dangerous and don't participate, then that's OK."", 'trimmed': ""There are risks involved in all sports—if you decide it's too dangerous and don't participate, then that's OK."", 'probability': 7.341186094584182e-25}, {'index': 1, 'original': '\n\nIs It Selfish to Want Multiple Children?', 'trimmed': 'Is It Selfish to Want Multiple Children?', 'probability': 1.520638160692204e-20}, {'index': 2, 'original': 'Just like lots of other sports are and can be dangerous, but not necessarily too dangerous to be called a sport.', 'trimmed': 'Just like lots of other sports are and can be dangerous, but not necessarily too dangerous to be called a sport.', 'probability': 6.056009861672183e-27}, {'index': 3, 'original': 'This is because in order to be a true sport, it must be regularly practiced for recreational or even professional purposes on a large scale at locations across the', 'trimmed': 'This is because in order to be a true sport, it must be regularly practiced for recreational or even professional purposes on a large scale at locations across the', 'probability': 3.4186248508351034e-29}]",0,0,5,30,0.9,1,0,0.5,30
31,suggestion-hover,user,1629919594319,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. ",621,[],0,0,5,30,0.9,1,0,0.5,31
32,suggestion-select,user,1629919600660,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. ",621,[],0,0,5,30,0.9,1,0,0.5,32
33,suggestion-close,api,1629919600660,,,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. ",621,[],0,0,5,30,0.9,1,0,0.5,33
34,text-insert,api,1629919600663,"{'ops': [{'retain': 621}, {'insert': ""There are risks involved in all sports—if you decide it's too dangerous and don't participate, then that's OK.""}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. There are risks involved in all sports—if you decide it's too dangerous and don't participate, then that's OK.",731,[],0,0,5,30,0.9,1,0,0.5,34
35,text-insert,user,1629919602960,"{'ops': [{'retain': 731}, {'insert': ' '}]}",,"Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?

Some sports, like extreme mountain climbing, are dangerous. Since there are varying degrees of risk in most, if not all, sports (such as the possibility of concussions, broken bones and even death), how does one decide where the line might be drawn between what is reasonable and what is not? Are some sports simply too dangerous to be called a sport?

---

In my opinion, as long as the activity in question is reasonably regulated and you choose to participate knowing the risks, then it should not be called too dangerous to be considered a sport. There are risks involved in all sports—if you decide it's too dangerous and don't participate, then that's OK. ",732,[],0,0,5,30,0.9,1,0,0.5,35
