,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629597480496,,,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion,",336,[],0,,5,30,0.9,1,0,0.5,0
1,text-insert,user,1629597487145,"{'ops': [{'retain': 336}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, ",337,[],0,,5,30,0.9,1,0,0.5,1
2,text-insert,user,1629597490913,"{'ops': [{'retain': 337}, {'insert': 's'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, s",338,[],0,,5,30,0.9,1,0,0.5,2
3,text-insert,user,1629597491140,"{'ops': [{'retain': 338}, {'insert': 't'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, st",339,[],0,,5,30,0.9,1,0,0.5,3
4,text-insert,user,1629597491303,"{'ops': [{'retain': 339}, {'insert': 'u'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, stu",340,[],0,,5,30,0.9,1,0,0.5,4
5,text-insert,user,1629597491381,"{'ops': [{'retain': 340}, {'insert': 'd'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, stud",341,[],0,,5,30,0.9,1,0,0.5,5
6,text-insert,user,1629597491583,"{'ops': [{'retain': 341}, {'insert': 'e'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, stude",342,[],0,,5,30,0.9,1,0,0.5,6
7,text-insert,user,1629597491695,"{'ops': [{'retain': 342}, {'insert': 'n'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, studen",343,[],0,,5,30,0.9,1,0,0.5,7
8,text-insert,user,1629597491799,"{'ops': [{'retain': 343}, {'insert': 't'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, student",344,[],0,,5,30,0.9,1,0,0.5,8
9,text-insert,user,1629597491971,"{'ops': [{'retain': 344}, {'insert': 's'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students",345,[],0,,5,30,0.9,1,0,0.5,9
10,text-insert,user,1629597492032,"{'ops': [{'retain': 345}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students ",346,[],0,,5,30,0.9,1,0,0.5,10
11,text-insert,user,1629597492675,"{'ops': [{'retain': 346}, {'insert': 's'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students s",347,[],0,,5,30,0.9,1,0,0.5,11
12,text-insert,user,1629597492746,"{'ops': [{'retain': 347}, {'insert': 'h'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students sh",348,[],0,,5,30,0.9,1,0,0.5,12
13,text-insert,user,1629597492851,"{'ops': [{'retain': 348}, {'insert': 'o'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students sho",349,[],0,,5,30,0.9,1,0,0.5,13
14,text-insert,user,1629597492931,"{'ops': [{'retain': 349}, {'insert': 'u'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students shou",350,[],0,,5,30,0.9,1,0,0.5,14
15,text-insert,user,1629597493103,"{'ops': [{'retain': 350}, {'insert': 'l'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students shoul",351,[],0,,5,30,0.9,1,0,0.5,15
16,text-insert,user,1629597493158,"{'ops': [{'retain': 351}, {'insert': 'd'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students should",352,[],0,,5,30,0.9,1,0,0.5,16
17,text-insert,user,1629597493272,"{'ops': [{'retain': 352}, {'insert': ' '}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students should ",353,[],0,,5,30,0.9,1,0,0.5,17
18,suggestion-get,user,1629597493650,,,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students should ",353,[],0,,5,30,0.9,1,0,0.5,18
19,suggestion-open,api,1629597495556,,,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students should ",353,"[{'index': 0, 'original': 'learn that the workplace is a place where they cannot be lazy.', 'trimmed': 'learn that the workplace is a place where they cannot be lazy.', 'probability': 3.260403611263294e-23}, {'index': 1, 'original': 'learn how to ""think"" in school.', 'trimmed': 'learn how to ""think"" in school.', 'probability': 3.517339123298284e-20}, {'index': 2, 'original': 'learn about themselves.', 'trimmed': 'learn about themselves.', 'probability': 3.1454267197525586e-14}, {'index': 3, 'original': 'learn what life is like at other times.', 'trimmed': 'learn what life is like at other times.', 'probability': 5.7364700244690355e-25}]",0,,5,30,0.9,1,0,0.5,19
20,suggestion-close,user,1629597502361,,,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students should ",353,[],0,,5,30,0.9,1,0,0.5,20
21,text-insert,user,1629597503419,"{'ops': [{'retain': 353}, {'insert': 'l'}]}",,"What Are the Most Important Things Students Should Learn in School?

In your opinion, what are the most important things students should learn in school? What is the most important thing you have learned in school? How has this knowledge affected your life? How do you think it will help your success in the future?

---

In my opinion, students should l",354,[],0,,5,30,0.9,1,0,0.5,21
