,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630317755707,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,,5,30,0.75,1,0,1,0
1,suggestion-get,user,1630317758827,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,,5,30,0.75,1,0,1,1
2,suggestion-open,api,1630317760858,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,"[{'index': 0, 'original': '\n\n#1 Dad was a powerful man.', 'trimmed': '#1 Dad was a powerful man.', 'probability': 7.301220836259478e-29}, {'index': 1, 'original': '\n\nIf the above is true, then we have to ask why that is.', 'trimmed': 'If the above is true, then we have to ask why that is.', 'probability': 3.4064592728367314e-25}, {'index': 2, 'original': ' The bottom half is filled with ""Dads"".', 'trimmed': 'The bottom half is filled with ""Dads"".', 'probability': 3.536629275327211e-28}, {'index': 3, 'original': '\n\nThe new list is:', 'trimmed': 'The new list is:', 'probability': 1.4397995394720963e-32}]",0,,5,30,0.75,1,0,1,2
3,suggestion-hover,user,1630317769029,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,1,5,30,0.75,1,0,1,3
4,suggestion-close,user,1630317770901,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,1,5,30,0.75,1,0,1,4
5,text-insert,user,1630317772035,"{'ops': [{'retain': 89}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,1,5,30,0.75,1,0,1,5
6,text-insert,user,1630317773247,"{'ops': [{'retain': 90}, {'insert': 'A'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. A",91,[],0,1,5,30,0.75,1,0,1,6
7,text-insert,user,1630317773640,"{'ops': [{'retain': 91}, {'insert': 't'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. At",92,[],0,1,5,30,0.75,1,0,1,7
8,text-insert,user,1630317773804,"{'ops': [{'retain': 92}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. At ",93,[],0,1,5,30,0.75,1,0,1,8
9,text-insert,user,1630317773963,"{'ops': [{'retain': 93}, {'insert': 'f'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. At f",94,[],0,1,5,30,0.75,1,0,1,9
