,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629097802559,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.",208,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629097815890,"{'ops': [{'retain': 208}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1629097816275,"{'ops': [{'retain': 209}, {'insert': 'T'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. T",210,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629097817059,"{'ops': [{'retain': 210}, {'insert': 'h'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. Th",211,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1629097817172,"{'ops': [{'retain': 211}, {'insert': 'i'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. Thi",212,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1629097817342,"{'ops': [{'retain': 212}, {'insert': 's'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This",213,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1629097817480,"{'ops': [{'retain': 213}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This ",214,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1629097817734,"{'ops': [{'retain': 214}, {'insert': 'n'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This n",215,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1629097817855,"{'ops': [{'retain': 215}, {'insert': 'e'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This ne",216,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1629097818119,"{'ops': [{'retain': 216}, {'insert': 'x'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This nex",217,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1629097818578,"{'ops': [{'retain': 217}, {'insert': 't'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This next",218,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1629097818707,"{'ops': [{'retain': 218}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This next ",219,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1629097818758,"{'ops': [{'retain': 219}, {'insert': 'l'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. This next l",220,[],0,,5,30,0.75,1,0,1,12
