,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630392199844,,,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK.""",280,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1630392220268,"{'ops': [{'retain': 280}, {'insert': ' '}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" ",281,[],0,,5,30,0.75,1,0,1,1
2,text-delete,user,1630392222569,"{'ops': [{'retain': 280}, {'delete': 1}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK.""",280,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1630392222947,"{'ops': [{'retain': 280}, {'insert': ' '}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" ",281,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1630392223555,"{'ops': [{'retain': 281}, {'insert': 'A'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" A",282,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1630392223904,"{'ops': [{'retain': 282}, {'insert': 't'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At",283,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1630392224017,"{'ops': [{'retain': 283}, {'insert': ' '}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At ",284,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1630392224482,"{'ops': [{'retain': 284}, {'insert': 'f'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At f",285,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1630392224715,"{'ops': [{'retain': 285}, {'insert': 'i'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At fi",286,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1630392224761,"{'ops': [{'retain': 286}, {'insert': 'r'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At fir",287,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1630392225113,"{'ops': [{'retain': 287}, {'insert': 's'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At firs",288,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1630392225281,"{'ops': [{'retain': 288}, {'insert': 't'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At first",289,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1630392225402,"{'ops': [{'retain': 289}, {'insert': ' '}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At first ",290,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1630392227080,"{'ops': [{'retain': 290}, {'insert': 'y'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At first y",291,[],0,,5,30,0.75,1,0,1,13
14,text-insert,user,1630392227243,"{'ops': [{'retain': 291}, {'insert': 'u'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At first yu",292,[],0,,5,30,0.75,1,0,1,14
15,text-insert,user,1630392227264,"{'ops': [{'retain': 292}, {'insert': 'o'}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At first yuo",293,[],0,,5,30,0.75,1,0,1,15
16,text-insert,user,1630392227386,"{'ops': [{'retain': 293}, {'insert': ' '}]}",,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK."" At first yuo ",294,[],0,,5,30,0.75,1,0,1,16
