,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629353510051,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629353517639,"{'ops': [{'retain': 385}, {'insert': ' '}]}",,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,,5,30,0.75,1,0,1,1
2,suggestion-get,user,1629353517881,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,,5,30,0.75,1,0,1,2
3,suggestion-open,api,1629353519888,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,"[{'index': 0, 'original': '\n\nThe 92nd little pig was like, ""I\'m rich, dude.""', 'trimmed': 'The 92nd little pig was like, ""I\'m rich, dude.""', 'probability': 3.0498888840871077e-16}, {'index': 1, 'original': 'And the wolf was like, ""hey.""', 'trimmed': 'And the wolf was like, ""hey.""', 'probability': 3.2944288539413657e-09}, {'index': 2, 'original': 'And the pig was like ""yeah, it\'ll totally keep you out.""', 'trimmed': 'And the pig was like ""yeah, it\'ll totally keep you out.""', 'probability': 2.926543380146951e-22}, {'index': 3, 'original': 'So he huffed and he puffed and then the house blew up.', 'trimmed': 'So he huffed and he puffed and then the house blew up.', 'probability': 1.2972091696351584e-12}, {'index': 4, 'original': 'Cause depleted uranium is toxic for thousands of years.', 'trimmed': 'Cause depleted uranium is toxic for thousands of years.', 'probability': 2.1122745180169617e-20}]",0,,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1629353520276,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,4,5,30,0.75,1,0,1,4
5,suggestion-hover,user,1629353520293,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,3,5,30,0.75,1,0,1,5
6,suggestion-hover,user,1629353520311,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,2,5,30,0.75,1,0,1,6
7,suggestion-hover,user,1629353520343,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,1,5,30,0.75,1,0,1,7
8,suggestion-hover,user,1629353521642,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,2,5,30,0.75,1,0,1,8
9,suggestion-hover,user,1629353521842,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,3,5,30,0.75,1,0,1,9
