,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630250639831,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again.",271,[],0,,5,30,0.75,1,0,1,0
1,suggestion-get,user,1630250648329,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again.",271,[],0,,5,30,0.75,1,0,1,1
2,suggestion-open,api,1630250650378,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again.",271,"[{'index': 0, 'original': '\n\nThey call it Mana Magic and it is the only thing that can turn the tide of battle back in their favor.', 'trimmed': 'They call it Mana Magic and it is the only thing that can turn the tide of battle back in their favor.', 'probability': 6.870490457345242e-22}, {'index': 1, 'original': '\n\nTwo young survivors, a farm boy and a village girl, must learn to harness this power before the aliens destroy every last trace of Mana on', 'trimmed': 'Two young survivors, a farm boy and a village girl, must learn to harness this power before the aliens destroy every last trace of Mana on', 'probability': 3.385655928235651e-23}, {'index': 2, 'original': '\n\nThe Gift is a story of epic adventure, populated with a colourful cast of humans and other fantastical creatures in an alternate Earth where the fantasy', 'trimmed': 'The Gift is a story of epic adventure, populated with a colourful cast of humans and other fantastical creatures in an alternate Earth where the fantasy', 'probability': 4.688722243654661e-28}, {'index': 3, 'original': '\n\nThis is a world of magic, but not without its own perils.', 'trimmed': 'This is a world of magic, but not without its own perils.', 'probability': 3.306074536066213e-25}, {'index': 4, 'original': '\n\nThe Mana Knights is the first book in a fantasy series about a world with virtually unlimited magical power.', 'trimmed': 'The Mana Knights is the first book in a fantasy series about a world with virtually unlimited magical power.', 'probability': 1.2856221947155817e-26}]",0,,5,30,0.75,1,0,1,2
3,suggestion-close,user,1630250683600,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again.",271,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1630250683606,"{'ops': [{'retain': 271}, {'insert': ' '}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1630250683793,"{'ops': [{'retain': 272}, {'insert': 'I'}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. I",273,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1630250684000,"{'ops': [{'retain': 273}, {'insert': 't'}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. It",274,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1630250684162,"{'ops': [{'retain': 274}, {'insert': ' '}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. It ",275,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1630250684280,"{'ops': [{'retain': 275}, {'insert': 'i'}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. It i",276,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1630250684415,"{'ops': [{'retain': 276}, {'insert': 's'}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. It is",277,[],0,,5,30,0.75,1,0,1,9
