,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629188151290,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629188158875,"{'ops': [{'retain': 123}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1629188159287,"{'ops': [{'retain': 124}, {'insert': 'A'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. A",125,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629188159497,"{'ops': [{'retain': 125}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As",126,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1629188159612,"{'ops': [{'retain': 126}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As ",127,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1629188159808,"{'ops': [{'retain': 127}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As i",128,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1629188159935,"{'ops': [{'retain': 128}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it",129,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1629188160027,"{'ops': [{'retain': 129}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it ",130,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1629188160221,"{'ops': [{'retain': 130}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it t",131,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1629188160305,"{'ops': [{'retain': 131}, {'insert': 'u'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it tu",132,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1629188160459,"{'ops': [{'retain': 132}, {'insert': 'r'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it tur",133,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1629188160565,"{'ops': [{'retain': 133}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turn",134,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1629188160712,"{'ops': [{'retain': 134}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns",135,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1629188160760,"{'ops': [{'retain': 135}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns ",136,[],0,,5,30,0.75,1,0,1,13
14,text-insert,user,1629188160891,"{'ops': [{'retain': 136}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns o",137,[],0,,5,30,0.75,1,0,1,14
15,text-insert,user,1629188160951,"{'ops': [{'retain': 137}, {'insert': 'u'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns ou",138,[],0,,5,30,0.75,1,0,1,15
16,text-insert,user,1629188161045,"{'ops': [{'retain': 138}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out",139,[],0,,5,30,0.75,1,0,1,16
17,text-insert,user,1629188161996,"{'ops': [{'retain': 139}, {'insert': ','}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out,",140,[],0,,5,30,0.75,1,0,1,17
18,text-insert,user,1629188162098,"{'ops': [{'retain': 140}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, ",141,[],0,,5,30,0.75,1,0,1,18
19,text-insert,user,1629188162325,"{'ops': [{'retain': 141}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, t",142,[],0,,5,30,0.75,1,0,1,19
20,text-insert,user,1629188162420,"{'ops': [{'retain': 142}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, th",143,[],0,,5,30,0.75,1,0,1,20
21,text-insert,user,1629188162507,"{'ops': [{'retain': 143}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, tho",144,[],0,,5,30,0.75,1,0,1,21
22,text-insert,user,1629188162595,"{'ops': [{'retain': 144}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, thos",145,[],0,,5,30,0.75,1,0,1,22
23,text-insert,user,1629188162716,"{'ops': [{'retain': 145}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, thos ",146,[],0,,5,30,0.75,1,0,1,23
24,text-insert,user,1629188162831,"{'ops': [{'retain': 146}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, thos e",147,[],0,,5,30,0.75,1,0,1,24
25,text-delete,user,1629188163307,"{'ops': [{'retain': 146}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, thos ",146,[],0,,5,30,0.75,1,0,1,25
26,text-delete,user,1629188163528,"{'ops': [{'retain': 145}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, thos",145,[],0,,5,30,0.75,1,0,1,26
27,text-insert,user,1629188163713,"{'ops': [{'retain': 145}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, those",146,[],0,,5,30,0.75,1,0,1,27
28,text-insert,user,1629188163825,"{'ops': [{'retain': 146}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, those ",147,[],0,,5,30,0.75,1,0,1,28
29,text-insert,user,1629188164209,"{'ops': [{'retain': 147}, {'insert': 'l'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, those l",148,[],0,,5,30,0.75,1,0,1,29
30,text-insert,user,1629188164308,"{'ops': [{'retain': 148}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, those le",149,[],0,,5,30,0.75,1,0,1,30
31,text-insert,user,1629188164532,"{'ops': [{'retain': 149}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. As it turns out, those len",150,[],0,,5,30,0.75,1,0,1,31
