,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630008668431,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1630008670844,"{'ops': [{'retain': 89}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,,5,30,0.75,1,0,1,1
2,suggestion-get,user,1630008675482,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,,5,30,0.75,1,0,1,2
3,suggestion-open,api,1630008677508,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,"[{'index': 0, 'original': '\n\nThe two highest-ranking dads in the league, D.J. and Ty, are ranked at #8 and #9 respectively after the', 'trimmed': 'The two highest-ranking dads in the league, D.J. and Ty, are ranked at #8 and #9 respectively after the', 'probability': 1.6872452432877957e-27}, {'index': 1, 'original': '""1st Place:"" pops up over a picture of Alan, then ""11th Place:"" and so on.', 'trimmed': '""1st Place:"" pops up over a picture of Alan, then ""11th Place:"" and so on.', 'probability': 3.467183208444715e-29}, {'index': 2, 'original': ""\n\nEvery last Father's Day card is destroyed."", 'trimmed': ""Every last Father's Day card is destroyed."", 'probability': 2.0721094130127214e-23}, {'index': 3, 'original': 'It seems that all of the Dads ranked higher than Michael are present in the coffee shop as well.', 'trimmed': 'It seems that all of the Dads ranked higher than Michael are present in the coffee shop as well.', 'probability': 6.838949054504834e-27}]",0,,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1630008678320,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,1,5,30,0.75,1,0,1,4
5,suggestion-hover,user,1630008678375,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,2,5,30,0.75,1,0,1,5
6,suggestion-hover,user,1630008678408,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,3,5,30,0.75,1,0,1,6
7,suggestion-hover,user,1630008678665,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,3,5,30,0.75,1,0,1,7
8,suggestion-hover,user,1630008678807,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,2,5,30,0.75,1,0,1,8
9,suggestion-hover,user,1630008679308,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,3,5,30,0.75,1,0,1,9
