,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629210763180,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629210768997,"{'ops': [{'retain': 123}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,1
2,suggestion-get,user,1629210769175,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,2
3,suggestion-open,api,1629210770921,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,"[{'index': 0, 'original': '\n\nThe alien is flying a spacecraft on the edge of the galaxy.', 'trimmed': 'The alien is flying a spacecraft on the edge of the galaxy.', 'probability': 2.4725099605468885e-25}, {'index': 1, 'original': ""Using this to his advantage, Damon performs a number of tasks for the alien: from satisfying his curiosity about humanity's oddities and habits, to m"", 'trimmed': ""Using this to his advantage, Damon performs a number of tasks for the alien: from satisfying his curiosity about humanity's oddities and habits, to m"", 'probability': 1.0649798191187035e-32}, {'index': 2, 'original': '\n\nDamon is an illegal alien on Mars, stuck in a body that can never return to Earth or it will die.', 'trimmed': 'Damon is an illegal alien on Mars, stuck in a body that can never return to Earth or it will die.', 'probability': 4.436696836547696e-25}, {'index': 3, 'original': '\n\nA driver in a fancy car with a vanity plate reading ""HOV"" can only be one person.', 'trimmed': 'A driver in a fancy car with a vanity plate reading ""HOV"" can only be one person.', 'probability': 1.529112664626796e-31}]",0,,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1629210770923,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,0,5,30,0.75,1,0,1,4
5,suggestion-hover,user,1629210778085,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,1,5,30,0.75,1,0,1,5
6,suggestion-hover,user,1629210778401,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,0,5,30,0.75,1,0,1,6
7,suggestion-select,user,1629210779980,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,0,5,30,0.75,1,0,1,7
8,suggestion-close,api,1629210779981,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,0,5,30,0.75,1,0,1,8
9,text-insert,api,1629210779985,"{'ops': [{'retain': 125}, {'insert': '\nThe alien is flying a spacecraft on the edge of the galaxy.\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. 
The alien is flying a spacecraft on the edge of the galaxy.
",185,[],0,0,5,30,0.75,1,0,1,9
10,text-insert,user,1629210783535,"{'ops': [{'retain': 185}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. 
The alien is flying a spacecraft on the edge of the galaxy.
 ",186,[],0,0,5,30,0.75,1,0,1,10
11,text-insert,user,1629210784668,"{'ops': [{'retain': 186}, {'insert': 'T'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. 
The alien is flying a spacecraft on the edge of the galaxy.
 T",187,[],0,0,5,30,0.75,1,0,1,11
12,text-insert,user,1629210784894,"{'ops': [{'retain': 187}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. 
The alien is flying a spacecraft on the edge of the galaxy.
 Th",188,[],0,0,5,30,0.75,1,0,1,12
