,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630663832235,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time.",234,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1630663835905,"{'ops': [{'retain': 234}, {'insert': ' '}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1630663836023,"{'ops': [{'retain': 235}, {'insert': 'T'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. T",236,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1630663836228,"{'ops': [{'retain': 236}, {'insert': 'h'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. Th",237,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1630663836327,"{'ops': [{'retain': 237}, {'insert': 'i'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. Thi",238,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1630663836365,"{'ops': [{'retain': 238}, {'insert': 's'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This",239,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1630663836625,"{'ops': [{'retain': 239}, {'insert': 'w'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. Thisw",240,[],0,,5,30,0.75,1,0,1,6
7,text-delete,user,1630663836947,"{'ops': [{'retain': 239}, {'delete': 1}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This",239,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1630663837074,"{'ops': [{'retain': 239}, {'insert': ' '}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This ",240,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1630663837213,"{'ops': [{'retain': 240}, {'insert': 'w'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This w",241,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1630663837329,"{'ops': [{'retain': 241}, {'insert': 'o'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This wo",242,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1630663837381,"{'ops': [{'retain': 242}, {'insert': 'm'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This wom",243,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1630663837476,"{'ops': [{'retain': 243}, {'insert': 'a'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This woma",244,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1630663837580,"{'ops': [{'retain': 244}, {'insert': 'n'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This woman",245,[],0,,5,30,0.75,1,0,1,13
14,text-insert,user,1630663837618,"{'ops': [{'retain': 245}, {'insert': ""'""}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This woman'",246,[],0,,5,30,0.75,1,0,1,14
15,text-insert,user,1630663837713,"{'ops': [{'retain': 246}, {'insert': 's'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. This woman's",247,[],0,,5,30,0.75,1,0,1,15
