,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629209378198,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629209386257,"{'ops': [{'retain': 123}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,1
2,suggestion-get,user,1629209386582,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,2
3,suggestion-open,api,1629209388620,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,"[{'index': 0, 'original': 'When an alien abducts Matt Damon, the world panics.', 'trimmed': 'When an alien abducts Matt Damon, the world panics.', 'probability': 2.7110264440332585e-29}, {'index': 1, 'original': 'So this alien brings him to a far away planet where he can live, for now.', 'trimmed': 'So this alien brings him to a far away planet where he can live, for now.', 'probability': 4.246315861643477e-29}, {'index': 2, 'original': ""The alien kidnaps Matt Damon and it's up to you to save him!"", 'trimmed': ""The alien kidnaps Matt Damon and it's up to you to save him!"", 'probability': 1.2965729961513882e-18}]",0,,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1629209388632,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,0,5,30,0.75,1,0,1,4
5,suggestion-hover,user,1629209392980,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,1,5,30,0.75,1,0,1,5
6,suggestion-select,user,1629209393669,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,1,5,30,0.75,1,0,1,6
7,suggestion-close,api,1629209393669,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,1,5,30,0.75,1,0,1,7
8,text-insert,api,1629209393673,"{'ops': [{'retain': 124}, {'insert': 'So this alien brings him to a far away planet where he can live, for now.'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. So this alien brings him to a far away planet where he can live, for now.",197,[],0,1,5,30,0.75,1,0,1,8
9,text-insert,user,1629209395128,"{'ops': [{'retain': 197}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. So this alien brings him to a far away planet where he can live, for now. ",198,[],0,1,5,30,0.75,1,0,1,9
