,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629279033910,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629279047097,"{'ops': [{'retain': 89}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1629279047901,"{'ops': [{'retain': 90}, {'insert': 'O'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. O",91,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1629279048100,"{'ops': [{'retain': 91}, {'insert': 'n'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. On",92,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1629279048196,"{'ops': [{'retain': 92}, {'insert': 'e'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One",93,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1629279048341,"{'ops': [{'retain': 93}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One ",94,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1629279048444,"{'ops': [{'retain': 94}, {'insert': 'd'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One d",95,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1629279048532,"{'ops': [{'retain': 95}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One da",96,[],0,,5,30,0.3,1,0,0,7
8,text-insert,user,1629279048669,"{'ops': [{'retain': 96}, {'insert': 'y'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day",97,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1629279049004,"{'ops': [{'retain': 97}, {'insert': ','}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day,",98,[],0,,5,30,0.3,1,0,0,9
10,text-insert,user,1629279049044,"{'ops': [{'retain': 98}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, ",99,[],0,,5,30,0.3,1,0,0,10
11,text-insert,user,1629279049614,"{'ops': [{'retain': 99}, {'insert': 'M'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, M",100,[],0,,5,30,0.3,1,0,0,11
12,text-insert,user,1629279051116,"{'ops': [{'retain': 100}, {'insert': 'u'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Mu",101,[],0,,5,30,0.3,1,0,0,12
13,text-insert,user,1629279051204,"{'ops': [{'retain': 101}, {'insert': 'r'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Mur",102,[],0,,5,30,0.3,1,0,0,13
14,text-insert,user,1629279051356,"{'ops': [{'retain': 102}, {'insert': 'r'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murr",103,[],0,,5,30,0.3,1,0,0,14
15,text-insert,user,1629279051484,"{'ops': [{'retain': 103}, {'insert': 'y'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry",104,[],0,,5,30,0.3,1,0,0,15
16,text-insert,user,1629279051576,"{'ops': [{'retain': 104}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry ",105,[],0,,5,30,0.3,1,0,0,16
17,text-insert,user,1629279051823,"{'ops': [{'retain': 105}, {'insert': 'w'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry w",106,[],0,,5,30,0.3,1,0,0,17
18,text-insert,user,1629279051895,"{'ops': [{'retain': 106}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry wa",107,[],0,,5,30,0.3,1,0,0,18
19,text-delete,user,1629279052165,"{'ops': [{'retain': 106}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry w",106,[],0,,5,30,0.3,1,0,0,19
20,text-delete,user,1629279052332,"{'ops': [{'retain': 105}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry ",105,[],0,,5,30,0.3,1,0,0,20
21,text-delete,user,1629279052484,"{'ops': [{'retain': 104}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murry",104,[],0,,5,30,0.3,1,0,0,21
22,text-delete,user,1629279052572,"{'ops': [{'retain': 103}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murr",103,[],0,,5,30,0.3,1,0,0,22
23,text-insert,user,1629279052676,"{'ops': [{'retain': 103}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murra",104,[],0,,5,30,0.3,1,0,0,23
24,text-insert,user,1629279052972,"{'ops': [{'retain': 104}, {'insert': 'y'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray",105,[],0,,5,30,0.3,1,0,0,24
25,text-insert,user,1629279053160,"{'ops': [{'retain': 105}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray ",106,[],0,,5,30,0.3,1,0,0,25
26,text-insert,user,1629279053223,"{'ops': [{'retain': 106}, {'insert': 'w'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray w",107,[],0,,5,30,0.3,1,0,0,26
27,text-insert,user,1629279053375,"{'ops': [{'retain': 107}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray wa",108,[],0,,5,30,0.3,1,0,0,27
28,text-insert,user,1629279053607,"{'ops': [{'retain': 108}, {'insert': 'k'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray wak",109,[],0,,5,30,0.3,1,0,0,28
29,text-insert,user,1629279053868,"{'ops': [{'retain': 109}, {'insert': 'e'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray wake",110,[],0,,5,30,0.3,1,0,0,29
30,text-insert,user,1629279053988,"{'ops': [{'retain': 110}, {'insert': 's'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. One day, Murray wakes",111,[],0,,5,30,0.3,1,0,0,30
