,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629780714563,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629780727617,"{'ops': [{'retain': 385}, {'insert': ' '}]}",,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,,5,30,0.75,1,0,1,1
2,suggestion-get,user,1629780727997,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,,5,30,0.75,1,0,1,2
3,suggestion-open,api,1629780729627,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,"[{'index': 0, 'original': '\n\nSo the 92nd little pig was like, ""The wolf is not going to blow up my house.""', 'trimmed': 'So the 92nd little pig was like, ""The wolf is not going to blow up my house.""', 'probability': 4.308042971594908e-14}, {'index': 1, 'original': ""And so the wolf ran away as fast as he could, which wasn't very fast because he had eaten lots of lead-based paint as a child"", 'trimmed': ""And so the wolf ran away as fast as he could, which wasn't very fast because he had eaten lots of lead-based paint as a child"", 'probability': 1.9001647993041443e-17}, {'index': 2, 'original': 'And the pig was like, ""no, dude.""', 'trimmed': 'And the pig was like, ""no, dude.""', 'probability': 2.9035410879190075e-15}]",0,,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1629780730494,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,0,5,30,0.75,1,0,1,4
5,suggestion-select,user,1629780741274,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,0,5,30,0.75,1,0,1,5
6,suggestion-close,api,1629780741274,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" ",386,[],0,0,5,30,0.75,1,0,1,6
7,text-insert,api,1629780741279,"{'ops': [{'retain': 387}, {'insert': '\nSo the 92nd little pig was like, ""The wolf is not going to blow up my house.""\n'}]}",,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" 
So the 92nd little pig was like, ""The wolf is not going to blow up my house.""
",465,[],0,0,5,30,0.75,1,0,1,7
8,suggestion-get,user,1629780747467,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" 
So the 92nd little pig was like, ""The wolf is not going to blow up my house.""
",465,[],0,0,5,30,0.75,1,0,1,8
9,suggestion-open,api,1629780749130,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude."" 
So the 92nd little pig was like, ""The wolf is not going to blow up my house.""
",465,"[{'index': 0, 'original': '\n\nSo he made himself a big barbecue, and he was all like, ""Bring me some ribs!""', 'trimmed': 'So he made himself a big barbecue, and he was all like, ""Bring me some ribs!""', 'probability': 4.420326596129527e-17}, {'index': 1, 'original': ' \n\nThe wolf was like, ""I\'m the Big Bad Wolf.', 'trimmed': 'The wolf was like, ""I\'m the Big Bad Wolf.', 'probability': 2.7975220777795185e-08}, {'index': 2, 'original': ' And the wolf was like, ""I\'m going to blow up your house.""', 'trimmed': 'And the wolf was like, ""I\'m going to blow up your house.""', 'probability': 1.569438652646678e-08}, {'index': 3, 'original': '\n\nBut the wolf did blow up his house.', 'trimmed': 'But the wolf did blow up his house.', 'probability': 1.481381152732319e-13}, {'index': 4, 'original': ' And the wolf was like, ""Yeah, well check this out.""', 'trimmed': 'And the wolf was like, ""Yeah, well check this out.""', 'probability': 3.5297465655241638e-15}]",0,0,5,30,0.75,1,0,1,9
