,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630332821921,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1630332844583,"{'ops': [{'retain': 89}, {'insert': '\n'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.
",89,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1630332844988,"{'ops': [{'retain': 90}, {'insert': '\n'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

",90,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1630332848057,"{'ops': [{'retain': 91}, {'insert': 'I'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I",92,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1630332849058,"{'ops': [{'retain': 92}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I ",93,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1630332850130,"{'ops': [{'retain': 93}, {'insert': 't'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I t",94,[],0,,5,30,0.3,1,0,0,5
6,text-delete,user,1630332850587,"{'ops': [{'retain': 93}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I ",93,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1630332851400,"{'ops': [{'retain': 93}, {'insert': 'w'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I w",94,[],0,,5,30,0.3,1,0,0,7
8,text-insert,user,1630332851549,"{'ops': [{'retain': 94}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I wa",95,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1630332851649,"{'ops': [{'retain': 95}, {'insert': 's'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was",96,[],0,,5,30,0.3,1,0,0,9
10,text-insert,user,1630332851767,"{'ops': [{'retain': 96}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was ",97,[],0,,5,30,0.3,1,0,0,10
11,text-insert,user,1630332852490,"{'ops': [{'retain': 97}, {'insert': 'n'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was n",98,[],0,,5,30,0.3,1,0,0,11
12,text-insert,user,1630332852707,"{'ops': [{'retain': 98}, {'insert': 'o'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was no",99,[],0,,5,30,0.3,1,0,0,12
13,text-insert,user,1630332852939,"{'ops': [{'retain': 99}, {'insert': 't'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was not",100,[],0,,5,30,0.3,1,0,0,13
14,text-insert,user,1630332853044,"{'ops': [{'retain': 100}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was not ",101,[],0,,5,30,0.3,1,0,0,14
15,text-insert,user,1630332855168,"{'ops': [{'retain': 101}, {'insert': 'l'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was not l",102,[],0,,5,30,0.3,1,0,0,15
16,text-insert,user,1630332855339,"{'ops': [{'retain': 102}, {'insert': 'o'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.

I was not lo",103,[],0,,5,30,0.3,1,0,0,16
