,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630486873660,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?""",270,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1630486880547,"{'ops': [{'retain': 270}, {'insert': ' '}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1630486880744,"{'ops': [{'retain': 271}, {'insert': 'Y'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" Y",272,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1630486880912,"{'ops': [{'retain': 272}, {'insert': 'o'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" Yo",273,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1630486880974,"{'ops': [{'retain': 273}, {'insert': 'u'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You",274,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1630486881106,"{'ops': [{'retain': 274}, {'insert': ""'""}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You'",275,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1630486881135,"{'ops': [{'retain': 275}, {'insert': 'r'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You'r",276,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1630486881179,"{'ops': [{'retain': 276}, {'insert': 'e'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You're",277,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1630486881296,"{'ops': [{'retain': 277}, {'insert': ' '}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You're ",278,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1630486881400,"{'ops': [{'retain': 278}, {'insert': 's'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You're s",279,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1630486881499,"{'ops': [{'retain': 279}, {'insert': 'h'}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You're sh",280,[],0,,5,30,0.75,1,0,1,10
