,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629443086760,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,,5,30,0.75,1,0,1,0
1,suggestion-get,user,1629443121263,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,,5,30,0.75,1,0,1,1
2,suggestion-open,api,1629443123434,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,"[{'index': 0, 'original': ' There are several countries and cultures to explore, as well as a ton of different characters and abilities.', 'trimmed': 'There are several countries and cultures to explore, as well as a ton of different characters and abilities.', 'probability': 3.443966589421689e-28}, {'index': 1, 'original': ' The U.S. must then deal with the consequences of being the last superpower and having everyone out for its blood.', 'trimmed': 'The U.S. must then deal with the consequences of being the last superpower and having everyone out for its blood.', 'probability': 3.635017126711387e-17}, {'index': 2, 'original': ' Instead, they were all fighting one another, with the exception of the Soviet Union (who had supposedly reformed), and Korea.', 'trimmed': 'Instead, they were all fighting one another, with the exception of the Soviet Union (who had supposedly reformed), and Korea.', 'probability': 1.5410216380778092e-28}, {'index': 3, 'original': ' Now, the world is full of war and strife as rebellions break out in many countries.', 'trimmed': 'Now, the world is full of war and strife as rebellions break out in many countries.', 'probability': 9.191886999750124e-24}, {'index': 4, 'original': ' In the meantime, five of six North American nations unified into the ""Western Alliance"" and expanded into much of Europe.', 'trimmed': 'In the meantime, five of six North American nations unified into the ""Western Alliance"" and expanded into much of Europe.', 'probability': 5.350498418052356e-28}]",0,,5,30,0.75,1,0,1,2
3,suggestion-hover,user,1629443124512,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,4,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1629443126693,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,3,5,30,0.75,1,0,1,4
5,suggestion-hover,user,1629443127383,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,2,5,30,0.75,1,0,1,5
6,suggestion-select,user,1629443128484,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,2,5,30,0.75,1,0,1,6
7,suggestion-close,api,1629443128486,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,2,5,30,0.75,1,0,1,7
8,text-insert,api,1629443128501,"{'ops': [{'retain': 257}, {'insert': ' Instead, they were all fighting one another, with the exception of the Soviet Union (who had supposedly reformed), and Korea.'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, they were all fighting one another, with the exception of the Soviet Union (who had supposedly reformed), and Korea.",383,[],0,2,5,30,0.75,1,0,1,8
9,cursor-backward,user,1629443137078,,"{'index': 259, 'length': 0}","Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, they were all fighting one another, with the exception of the Soviet Union (who had supposedly reformed), and Korea.",259,[],0,2,5,30,0.75,1,0,1,9
