,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629095426180,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.",208,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629095437008,"{'ops': [{'retain': 208}, {'insert': '\n'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.
",208,[],0,,5,30,0.75,1,0,1,1
2,text-delete,user,1629095437791,"{'ops': [{'retain': 208}, {'delete': 1}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.",208,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629095438061,"{'ops': [{'retain': 208}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,,5,30,0.75,1,0,1,3
4,suggestion-get,user,1629095438527,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,,5,30,0.75,1,0,1,4
5,suggestion-open,api,1629095440485,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,"[{'index': 0, 'original': '\n\nThe main character complains about the movie immediately, and is surprised to find that he’s in it.', 'trimmed': 'The main character complains about the movie immediately, and is surprised to find that he’s in it.', 'probability': 6.496297269555973e-28}, {'index': 1, 'original': 'Soon enough, you realise that the storyline is not going to be a pleasant one.', 'trimmed': 'Soon enough, you realise that the storyline is not going to be a pleasant one.', 'probability': 1.6519122317638787e-24}, {'index': 2, 'original': '\n\nThis cinematic afterlife is a benefit for the region of your brain that specialises in empathy.', 'trimmed': 'This cinematic afterlife is a benefit for the region of your brain that specialises in empathy.', 'probability': 1.09430384728473e-34}, {'index': 3, 'original': 'The woman who looks like you has just married a man, and the film shows them together in a bedroom.', 'trimmed': 'The woman who looks like you has just married a man, and the film shows them together in a bedroom.', 'probability': 4.78045057608049e-25}, {'index': 4, 'original': '\n\nYou are a God-like figure who has the power to grant miracles to those you deem worthy.', 'trimmed': 'You are a God-like figure who has the power to grant miracles to those you deem worthy.', 'probability': 9.806637584685097e-20}]",0,,5,30,0.75,1,0,1,5
6,suggestion-hover,user,1629095441097,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,4,5,30,0.75,1,0,1,6
7,suggestion-hover,user,1629095444160,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,3,5,30,0.75,1,0,1,7
8,suggestion-hover,user,1629095446244,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,4,5,30,0.75,1,0,1,8
9,suggestion-select,user,1629095446595,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,4,5,30,0.75,1,0,1,9
10,suggestion-close,api,1629095446596,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,4,5,30,0.75,1,0,1,10
11,text-insert,api,1629095446622,"{'ops': [{'retain': 210}, {'insert': '\nYou are a God-like figure who has the power to grant miracles to those you deem worthy.\n'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
",298,[],0,4,5,30,0.75,1,0,1,11
12,text-insert,user,1629095447507,"{'ops': [{'retain': 298}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,4,5,30,0.75,1,0,1,12
13,suggestion-get,user,1629095472396,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,4,5,30,0.75,1,0,1,13
14,suggestion-open,api,1629095474425,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,"[{'index': 0, 'original': 'While people can pray to you directly, you can also give powers to priests who, in turn, will be able to answer the prayers of their followers', 'trimmed': 'While people can pray to you directly, you can also give powers to priests who, in turn, will be able to answer the prayers of their followers', 'probability': 3.6109497336903605e-20}, {'index': 1, 'original': ""The movie ends with a montage of all the miracles you've granted."", 'trimmed': ""The movie ends with a montage of all the miracles you've granted."", 'probability': 1.7021100748433262e-18}, {'index': 2, 'original': 'However, you must weigh the cost of giving a person a miracle vs.', 'trimmed': 'However, you must weigh the cost of giving a person a miracle vs.', 'probability': 1.90786182736629e-18}, {'index': 3, 'original': '\n\nYou are a cashier at the self-check-out in the supermarket of an American town.', 'trimmed': 'You are a cashier at the self-check-out in the supermarket of an American town.', 'probability': 4.589021102227896e-25}, {'index': 4, 'original': 'A person can only receive one miracle in their lifetime, so you must choose carefully who will have the ultimate reward.', 'trimmed': 'A person can only receive one miracle in their lifetime, so you must choose carefully who will have the ultimate reward.', 'probability': 1.1851428369990431e-19}]",0,4,5,30,0.75,1,0,1,14
15,suggestion-hover,user,1629095475114,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,4,5,30,0.75,1,0,1,15
16,suggestion-hover,user,1629095476079,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,3,5,30,0.75,1,0,1,16
17,suggestion-hover,user,1629095476229,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,2,5,30,0.75,1,0,1,17
18,suggestion-hover,user,1629095478060,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,1,5,30,0.75,1,0,1,18
19,suggestion-hover,user,1629095478277,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,2,5,30,0.75,1,0,1,19
20,suggestion-hover,user,1629095478329,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,3,5,30,0.75,1,0,1,20
21,suggestion-hover,user,1629095479336,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,4,5,30,0.75,1,0,1,21
22,suggestion-hover,user,1629095480924,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,3,5,30,0.75,1,0,1,22
23,suggestion-hover,user,1629095480974,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,2,5,30,0.75,1,0,1,23
24,suggestion-hover,user,1629095481024,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,1,5,30,0.75,1,0,1,24
25,suggestion-hover,user,1629095482623,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 
You are a God-like figure who has the power to grant miracles to those you deem worthy.
 ",299,[],0,0,5,30,0.75,1,0,1,25
