,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629281151934,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?""",270,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629281152734,"{'ops': [{'retain': 270}, {'insert': ' '}]}",,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,,5,30,0.3,1,0,0,1
2,suggestion-get,user,1629281152994,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,,5,30,0.3,1,0,0,2
3,suggestion-open,api,1629281154759,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,"[{'index': 0, 'original': '\n\nWritten by Catprog on 11-05-2016 and this page is yet to be reviewed', 'trimmed': 'Written by Catprog on 11-05-2016 and this page is yet to be reviewed', 'probability': 2.226962048883432e-09}, {'index': 1, 'original': '\n\nYou look around, and see that you are surrounded by bees.', 'trimmed': 'You look around, and see that you are surrounded by bees.', 'probability': 8.762162483237123e-13}, {'index': 2, 'original': '\n\nYou:', 'trimmed': 'You:', 'probability': 2.9761005961356817e-09}, {'index': 3, 'original': '\n\nWhat do you do?', 'trimmed': 'What do you do?', 'probability': 3.381397266307536e-09}, {'index': 4, 'original': 'You look around and see a swarm of bees, all bowing to you.', 'trimmed': 'You look around and see a swarm of bees, all bowing to you.', 'probability': 4.93911109932668e-12}]",0,,5,30,0.3,1,0,0,3
4,suggestion-hover,user,1629281154764,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,0,5,30,0.3,1,0,0,4
5,suggestion-hover,user,1629281155179,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,1,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1629281155196,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,2,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1629281155229,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,3,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1629281155929,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,2,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1629281158162,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,1,5,30,0.3,1,0,0,9
10,suggestion-hover,user,1629281159345,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,2,5,30,0.3,1,0,0,10
11,suggestion-hover,user,1629281159462,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,3,5,30,0.3,1,0,0,11
12,suggestion-hover,user,1629281159792,,,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" ",271,[],0,4,5,30,0.3,1,0,0,12
