,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629988906307,,,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.",257,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629988933940,"{'ops': [{'retain': 257}, {'insert': '\n'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.
",257,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1629988934154,"{'ops': [{'retain': 258}, {'insert': '\n'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

",258,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1629988960780,"{'ops': [{'retain': 259}, {'insert': 'T'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

T",260,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1629988961048,"{'ops': [{'retain': 260}, {'insert': 'h'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

Th",261,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1629988961261,"{'ops': [{'retain': 261}, {'insert': 'e'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The",262,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1629988961422,"{'ops': [{'retain': 262}, {'insert': ' '}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The ",263,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1629988961569,"{'ops': [{'retain': 263}, {'insert': 'u'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The u",264,[],0,,5,30,0.3,1,0,0,7
8,text-delete,user,1629988961989,"{'ops': [{'retain': 263}, {'delete': 1}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The ",263,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1629988962253,"{'ops': [{'retain': 263}, {'insert': 'U'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The U",264,[],0,,5,30,0.3,1,0,0,9
10,text-insert,user,1629988962438,"{'ops': [{'retain': 264}, {'insert': 'n'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The Un",265,[],0,,5,30,0.3,1,0,0,10
11,text-insert,user,1629988962583,"{'ops': [{'retain': 265}, {'insert': 'i'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The Uni",266,[],0,,5,30,0.3,1,0,0,11
12,text-insert,user,1629988962747,"{'ops': [{'retain': 266}, {'insert': 't'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The Unit",267,[],0,,5,30,0.3,1,0,0,12
13,text-insert,user,1629988962796,"{'ops': [{'retain': 267}, {'insert': 'e'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The Unite",268,[],0,,5,30,0.3,1,0,0,13
14,text-insert,user,1629988962990,"{'ops': [{'retain': 268}, {'insert': 'd'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United",269,[],0,,5,30,0.3,1,0,0,14
15,text-insert,user,1629988963095,"{'ops': [{'retain': 269}, {'insert': ' '}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United ",270,[],0,,5,30,0.3,1,0,0,15
16,text-insert,user,1629988963320,"{'ops': [{'retain': 270}, {'insert': 'S'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United S",271,[],0,,5,30,0.3,1,0,0,16
17,text-insert,user,1629988963402,"{'ops': [{'retain': 271}, {'insert': 't'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United St",272,[],0,,5,30,0.3,1,0,0,17
18,text-insert,user,1629988963503,"{'ops': [{'retain': 272}, {'insert': 'a'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United Sta",273,[],0,,5,30,0.3,1,0,0,18
19,text-insert,user,1629988963589,"{'ops': [{'retain': 273}, {'insert': 't'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United Stat",274,[],0,,5,30,0.3,1,0,0,19
20,text-insert,user,1629988963713,"{'ops': [{'retain': 274}, {'insert': 'e'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United State",275,[],0,,5,30,0.3,1,0,0,20
21,text-insert,user,1629988963882,"{'ops': [{'retain': 275}, {'insert': 's'}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United States",276,[],0,,5,30,0.3,1,0,0,21
22,text-insert,user,1629988963965,"{'ops': [{'retain': 276}, {'insert': ' '}]}",,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation.

The United States ",277,[],0,,5,30,0.3,1,0,0,22
