,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630243455564,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.",208,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1630243465305,"{'ops': [{'retain': 208}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1630243465418,"{'ops': [{'retain': 209}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  ",210,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1630243466438,"{'ops': [{'retain': 210}, {'insert': 'A'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  A",211,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1630243466579,"{'ops': [{'retain': 211}, {'insert': 'S'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  AS",212,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1630243466750,"{'ops': [{'retain': 212}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  AS ",213,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1630243466861,"{'ops': [{'retain': 213}, {'insert': 'w'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  AS w",214,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1630243466919,"{'ops': [{'retain': 214}, {'insert': 'e'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  AS we",215,[],0,,5,30,0.3,1,0,0,7
8,text-delete,user,1630243467336,"{'ops': [{'retain': 214}, {'delete': 1}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  AS w",214,[],0,,5,30,0.3,1,0,0,8
9,text-delete,user,1630243467486,"{'ops': [{'retain': 213}, {'delete': 1}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.  AS ",213,[],0,,5,30,0.3,1,0,0,9
