,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630756590031,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,,5,30,0.3,1,0,0,0
1,suggestion-get,user,1630756601186,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,,5,30,0.3,1,0,0,1
2,suggestion-open,api,1630756603047,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,"[{'index': 0, 'original': '\n\nThe wolf was like, ""dude.""', 'trimmed': 'The wolf was like, ""dude.""', 'probability': 0.0035809038991937137}, {'index': 1, 'original': ' And the pig was like, ""what?""', 'trimmed': 'And the pig was like, ""what?""', 'probability': 2.487501928827431e-05}, {'index': 2, 'original': '\n\nThe 92nd little pig said, ""I\'m not afraid of you, wolf.""', 'trimmed': 'The 92nd little pig said, ""I\'m not afraid of you, wolf.""', 'probability': 1.3824846124349064e-07}, {'index': 3, 'original': '\n\nThe 92nd little pig said, ""Not by the hair of my chinny-chin-chin.""', 'trimmed': 'The 92nd little pig said, ""Not by the hair of my chinny-chin-chin.""', 'probability': 0.00019630928930404557}]",0,,5,30,0.3,1,0,0,2
3,suggestion-hover,user,1630756603054,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,0,5,30,0.3,1,0,0,3
4,suggestion-hover,user,1630756605853,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,1,5,30,0.3,1,0,0,4
5,suggestion-hover,user,1630756605887,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,2,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1630756605920,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,3,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1630756606420,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,3,5,30,0.3,1,0,0,7
8,suggestion-get,user,1630756606834,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,3,5,30,0.3,1,0,0,8
9,suggestion-close,api,1630756606835,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,3,5,30,0.3,1,0,0,9
10,suggestion-open,api,1630756608664,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,"[{'index': 0, 'original': '\n\nThe wolf was like, ""dude, I\'m not going to blow that house down.""', 'trimmed': 'The wolf was like, ""dude, I\'m not going to blow that house down.""', 'probability': 1.3235746617188264e-08}, {'index': 1, 'original': ' And the 92nd little pig was like, ""no, really.', 'trimmed': 'And the 92nd little pig was like, ""no, really.', 'probability': 1.1144522387812233e-09}, {'index': 2, 'original': ' And the 92nd little pig was like, ""I know, right?""', 'trimmed': 'And the 92nd little pig was like, ""I know, right?""', 'probability': 3.844905141923974e-06}, {'index': 3, 'original': '\n\nThe wolf was like, ""dude.""', 'trimmed': 'The wolf was like, ""dude.""', 'probability': 0.003798877264311367}]",0,3,5,30,0.3,1,0,0,10
11,suggestion-hover,user,1630756610937,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,3,5,30,0.3,1,0,0,11
12,suggestion-hover,user,1630756611020,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,2,5,30,0.3,1,0,0,12
13,suggestion-hover,user,1630756611170,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,1,5,30,0.3,1,0,0,13
14,suggestion-hover,user,1630756611320,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,0,5,30,0.3,1,0,0,14
15,suggestion-select,user,1630756613369,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,0,5,30,0.3,1,0,0,15
16,suggestion-close,api,1630756613370,,,"Once upon a time there was an old mother pig who had one hundred little pigs and not enough food to feed them. So when they were old enough, she sent them out into the world to seek their fortunes. You know the story about the first three little pigs. This is a story about the 92nd little pig.

The 92nd little pig built a house out of depleted uranium. And the wolf was like, ""dude.""",385,[],0,0,5,30,0.3,1,0,0,16
