,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629292835447,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629292875370,"{'ops': [{'retain': 292}, {'insert': '\n'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",292,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1629292876318,"{'ops': [{'retain': 293}, {'insert': '\n'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",293,[],0,,5,30,0.3,1,0,0,2
3,suggestion-get,user,1629292877037,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,,5,30,0.3,1,0,0,3
4,suggestion-open,api,1629292879158,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,"[{'index': 0, 'original': '\n\nThe story follows the lives of three people: a young woman who is the first to receive the drug, a young man who is the first', 'trimmed': 'The story follows the lives of three people: a young woman who is the first to receive the drug, a young man who is the first', 'probability': 4.094319392143897e-17}, {'index': 1, 'original': '\n\nThis is a story about the world after the discovery of the drug.', 'trimmed': 'This is a story about the world after the discovery of the drug.', 'probability': 3.395289614664785e-11}, {'index': 2, 'original': '\n\nThe world is now a very different place.', 'trimmed': 'The world is now a very different place.', 'probability': 6.778624226298885e-17}, {'index': 3, 'original': '\n\nYou are the only one who can save the world.', 'trimmed': 'You are the only one who can save the world.', 'probability': 2.477165768941701e-14}, {'index': 4, 'original': '\n\nThis is the story of a group of people who are forced to live with the consequences of immortality.', 'trimmed': 'This is the story of a group of people who are forced to live with the consequences of immortality.', 'probability': 9.545256473463382e-15}]",0,,5,30,0.3,1,0,0,4
5,suggestion-hover,user,1629292879983,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,4,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1629292880151,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,3,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1629292880589,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,2,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1629292880613,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,0,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1629292882216,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,1,5,30,0.3,1,0,0,9
10,suggestion-hover,user,1629292882654,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,2,5,30,0.3,1,0,0,10
11,suggestion-hover,user,1629292889017,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,3,5,30,0.3,1,0,0,11
12,suggestion-hover,user,1629292889032,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,4,5,30,0.3,1,0,0,12
13,suggestion-hover,user,1629292889581,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,4,5,30,0.3,1,0,0,13
14,suggestion-select,user,1629292900001,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,4,5,30,0.3,1,0,0,14
15,suggestion-close,api,1629292900003,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.

",294,[],0,4,5,30,0.3,1,0,0,15
16,text-insert,api,1629292900025,"{'ops': [{'retain': 295}, {'insert': '\nThis is the story of a group of people who are forced to live with the consequences of immortality.\n'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.


This is the story of a group of people who are forced to live with the consequences of immortality.
",395,[],0,4,5,30,0.3,1,0,0,16
