,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629197857656,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629197867890,"{'ops': [{'retain': 123}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
",123,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1629197868408,"{'ops': [{'retain': 124}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",124,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629197869072,"{'ops': [{'retain': 125}, {'insert': 'I'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I",126,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1629197869351,"{'ops': [{'retain': 126}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It",127,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1629197869632,"{'ops': [{'retain': 127}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It ",128,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1629197869895,"{'ops': [{'retain': 128}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It h",129,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1629197870015,"{'ops': [{'retain': 129}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It ha",130,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1629197870255,"{'ops': [{'retain': 130}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It hap",131,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1629197870383,"{'ops': [{'retain': 131}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It happ",132,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1629197870527,"{'ops': [{'retain': 132}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It happe",133,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1629197870791,"{'ops': [{'retain': 133}, {'insert': 'm'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It happem",134,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1629197871183,"{'ops': [{'retain': 134}, {'insert': 'd'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It happemd",135,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1629197871423,"{'ops': [{'retain': 135}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

It happemd ",136,[],0,,5,30,0.75,1,0,1,13
