,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629637187517,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629637190141,"{'ops': [{'retain': 123}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
",123,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1629637190659,"{'ops': [{'retain': 124}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",124,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1629637202533,"{'ops': [{'retain': 125}, {'insert': 'T'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

T",126,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1629637202795,"{'ops': [{'retain': 126}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Th",127,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1629637202939,"{'ops': [{'retain': 127}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The",128,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1629637203059,"{'ops': [{'retain': 128}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The ",129,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1629637203619,"{'ops': [{'retain': 129}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The a",130,[],0,,5,30,0.3,1,0,0,7
8,text-insert,user,1629637203770,"{'ops': [{'retain': 130}, {'insert': 'l'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The al",131,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1629637203995,"{'ops': [{'retain': 131}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The ali",132,[],0,,5,30,0.3,1,0,0,9
10,text-insert,user,1629637204098,"{'ops': [{'retain': 132}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The alie",133,[],0,,5,30,0.3,1,0,0,10
11,text-insert,user,1629637204187,"{'ops': [{'retain': 133}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The alien",134,[],0,,5,30,0.3,1,0,0,11
12,text-insert,user,1629637204698,"{'ops': [{'retain': 134}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens",135,[],0,,5,30,0.3,1,0,0,12
13,text-insert,user,1629637204899,"{'ops': [{'retain': 135}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens ",136,[],0,,5,30,0.3,1,0,0,13
14,text-insert,user,1629637205114,"{'ops': [{'retain': 136}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens t",137,[],0,,5,30,0.3,1,0,0,14
15,text-insert,user,1629637205266,"{'ops': [{'retain': 137}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens ta",138,[],0,,5,30,0.3,1,0,0,15
16,text-insert,user,1629637205458,"{'ops': [{'retain': 138}, {'insert': 'k'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens tak",139,[],0,,5,30,0.3,1,0,0,16
17,text-insert,user,1629637205547,"{'ops': [{'retain': 139}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take",140,[],0,,5,30,0.3,1,0,0,17
18,text-insert,user,1629637205690,"{'ops': [{'retain': 140}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take ",141,[],0,,5,30,0.3,1,0,0,18
19,text-insert,user,1629637206018,"{'ops': [{'retain': 141}, {'insert': 'M'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take M",142,[],0,,5,30,0.3,1,0,0,19
20,text-insert,user,1629637206266,"{'ops': [{'retain': 142}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Ma",143,[],0,,5,30,0.3,1,0,0,20
21,text-insert,user,1629637206474,"{'ops': [{'retain': 143}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Mat",144,[],0,,5,30,0.3,1,0,0,21
22,text-insert,user,1629637206595,"{'ops': [{'retain': 144}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt",145,[],0,,5,30,0.3,1,0,0,22
23,text-insert,user,1629637206851,"{'ops': [{'retain': 145}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt ",146,[],0,,5,30,0.3,1,0,0,23
24,text-insert,user,1629637207122,"{'ops': [{'retain': 146}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt t",147,[],0,,5,30,0.3,1,0,0,24
25,text-insert,user,1629637207378,"{'ops': [{'retain': 147}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to",148,[],0,,5,30,0.3,1,0,0,25
26,text-insert,user,1629637207658,"{'ops': [{'retain': 148}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to ",149,[],0,,5,30,0.3,1,0,0,26
27,text-insert,user,1629637207922,"{'ops': [{'retain': 149}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to t",150,[],0,,5,30,0.3,1,0,0,27
28,text-insert,user,1629637208114,"{'ops': [{'retain': 150}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to th",151,[],0,,5,30,0.3,1,0,0,28
29,text-insert,user,1629637208250,"{'ops': [{'retain': 151}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to the",152,[],0,,5,30,0.3,1,0,0,29
30,text-insert,user,1629637208354,"{'ops': [{'retain': 152}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to thei",153,[],0,,5,30,0.3,1,0,0,30
31,text-insert,user,1629637208442,"{'ops': [{'retain': 153}, {'insert': 'r'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their",154,[],0,,5,30,0.3,1,0,0,31
32,text-insert,user,1629637208603,"{'ops': [{'retain': 154}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their ",155,[],0,,5,30,0.3,1,0,0,32
33,text-insert,user,1629637208834,"{'ops': [{'retain': 155}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their p",156,[],0,,5,30,0.3,1,0,0,33
34,text-insert,user,1629637208986,"{'ops': [{'retain': 156}, {'insert': 'l'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their pl",157,[],0,,5,30,0.3,1,0,0,34
35,text-insert,user,1629637209098,"{'ops': [{'retain': 157}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their pla",158,[],0,,5,30,0.3,1,0,0,35
36,text-insert,user,1629637209602,"{'ops': [{'retain': 158}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their plan",159,[],0,,5,30,0.3,1,0,0,36
37,text-insert,user,1629637209890,"{'ops': [{'retain': 159}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their plane",160,[],0,,5,30,0.3,1,0,0,37
38,text-insert,user,1629637210138,"{'ops': [{'retain': 160}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet",161,[],0,,5,30,0.3,1,0,0,38
39,text-insert,user,1629637210426,"{'ops': [{'retain': 161}, {'insert': ','}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet,",162,[],0,,5,30,0.3,1,0,0,39
40,text-insert,user,1629637210594,"{'ops': [{'retain': 162}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, ",163,[],0,,5,30,0.3,1,0,0,40
41,text-insert,user,1629637210779,"{'ops': [{'retain': 163}, {'insert': 'r'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, r",164,[],0,,5,30,0.3,1,0,0,41
42,text-insert,user,1629637210954,"{'ops': [{'retain': 164}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, re",165,[],0,,5,30,0.3,1,0,0,42
43,text-insert,user,1629637211186,"{'ops': [{'retain': 165}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, rea",166,[],0,,5,30,0.3,1,0,0,43
44,text-insert,user,1629637211402,"{'ops': [{'retain': 166}, {'insert': 'd'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read",167,[],0,,5,30,0.3,1,0,0,44
45,text-insert,user,1629637211498,"{'ops': [{'retain': 167}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read ",168,[],0,,5,30,0.3,1,0,0,45
46,text-insert,user,1629637211730,"{'ops': [{'retain': 168}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read h",169,[],0,,5,30,0.3,1,0,0,46
47,text-insert,user,1629637211914,"{'ops': [{'retain': 169}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read hi",170,[],0,,5,30,0.3,1,0,0,47
48,text-insert,user,1629637211986,"{'ops': [{'retain': 170}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his",171,[],0,,5,30,0.3,1,0,0,48
49,text-insert,user,1629637212202,"{'ops': [{'retain': 171}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his ",172,[],0,,5,30,0.3,1,0,0,49
50,text-insert,user,1629637212483,"{'ops': [{'retain': 172}, {'insert': 'm'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his m",173,[],0,,5,30,0.3,1,0,0,50
51,text-insert,user,1629637212706,"{'ops': [{'retain': 173}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mi",174,[],0,,5,30,0.3,1,0,0,51
52,text-insert,user,1629637212938,"{'ops': [{'retain': 174}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his min",175,[],0,,5,30,0.3,1,0,0,52
53,text-insert,user,1629637213010,"{'ops': [{'retain': 175}, {'insert': 'd'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind",176,[],0,,5,30,0.3,1,0,0,53
54,text-insert,user,1629637213434,"{'ops': [{'retain': 176}, {'insert': ','}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind,",177,[],0,,5,30,0.3,1,0,0,54
55,text-insert,user,1629637213643,"{'ops': [{'retain': 177}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, ",178,[],0,,5,30,0.3,1,0,0,55
56,text-insert,user,1629637213803,"{'ops': [{'retain': 178}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, a",179,[],0,,5,30,0.3,1,0,0,56
57,text-insert,user,1629637213898,"{'ops': [{'retain': 179}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, an",180,[],0,,5,30,0.3,1,0,0,57
58,text-insert,user,1629637214034,"{'ops': [{'retain': 180}, {'insert': 'd'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and",181,[],0,,5,30,0.3,1,0,0,58
59,text-insert,user,1629637214082,"{'ops': [{'retain': 181}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and ",182,[],0,,5,30,0.3,1,0,0,59
60,text-insert,user,1629637214314,"{'ops': [{'retain': 182}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and o",183,[],0,,5,30,0.3,1,0,0,60
61,text-insert,user,1629637214322,"{'ops': [{'retain': 183}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and op",184,[],0,,5,30,0.3,1,0,0,61
62,text-insert,user,1629637214474,"{'ops': [{'retain': 184}, {'insert': 'l'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and opl",185,[],0,,5,30,0.3,1,0,0,62
63,text-insert,user,1629637214586,"{'ops': [{'retain': 185}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and opla",186,[],0,,5,30,0.3,1,0,0,63
64,text-insert,user,1629637214890,"{'ops': [{'retain': 186}, {'insert': 'c'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

The aliens take Matt to their planet, read his mind, and oplac",187,[],0,,5,30,0.3,1,0,0,64
