,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630073508525,,,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen.",208,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1630073529451,"{'ops': [{'retain': 208}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",209,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1630073531754,"{'ops': [{'retain': 209}, {'insert': '""'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. """,210,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1630073532478,"{'ops': [{'retain': 210}, {'insert': 'I'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""I",211,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1630073532696,"{'ops': [{'retain': 211}, {'insert': 't'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""It",212,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1630073533274,"{'ops': [{'retain': 212}, {'insert': ""'""}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""It'",213,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1630073533387,"{'ops': [{'retain': 213}, {'insert': 's'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""It's",214,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1630073533999,"{'ops': [{'retain': 214}, {'insert': ' '}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""It's ",215,[],0,,5,30,0.3,1,0,0,7
8,text-insert,user,1630073534171,"{'ops': [{'retain': 215}, {'insert': 'd'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""It's d",216,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1630073534368,"{'ops': [{'retain': 216}, {'insert': 'a'}]}",,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ""It's da",217,[],0,,5,30,0.3,1,0,0,9
