,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629434748084,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,,5,30,0.3,1,0,0,0
1,suggestion-get,user,1629434763647,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,,5,30,0.3,1,0,0,1
2,suggestion-open,api,1629434765723,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,"[{'index': 0, 'original': "" You're now immortal, but you're also a zombie."", 'trimmed': ""You're now immortal, but you're also a zombie."", 'probability': 9.21734386653958e-19}, {'index': 1, 'original': "" You're dead."", 'trimmed': ""You're dead."", 'probability': 1.0074493921548723e-15}, {'index': 2, 'original': "" You're now a young adult, but you're trapped in the body of an old man."", 'trimmed': ""You're now a young adult, but you're trapped in the body of an old man."", 'probability': 1.0694581698479165e-15}, {'index': 3, 'original': '\n\nThe Lost Generations is a story about the people who were left behind.', 'trimmed': 'The Lost Generations is a story about the people who were left behind.', 'probability': 1.135638192268994e-14}, {'index': 4, 'original': '\n\nThe world is in chaos.', 'trimmed': 'The world is in chaos.', 'probability': 1.064581628177934e-19}]",0,,5,30,0.3,1,0,0,2
3,suggestion-close,user,1629434765739,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,,5,30,0.3,1,0,0,3
4,suggestion-get,user,1629434792642,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,,5,30,0.3,1,0,0,4
5,suggestion-open,api,1629434794564,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,"[{'index': 0, 'original': '\n\n""The Lost Generations"" is a science fiction short story by American writer Orson Scott Card.', 'trimmed': '""The Lost Generations"" is a science fiction short story by American writer Orson Scott Card.', 'probability': 1.362877226146636e-11}, {'index': 1, 'original': "" You're told that you have two weeks to live."", 'trimmed': ""You're told that you have two weeks to live."", 'probability': 1.069272205971706e-13}, {'index': 2, 'original': ' You must find a way to survive the next five years, or die.', 'trimmed': 'You must find a way to survive the next five years, or die.', 'probability': 2.2615818305543136e-19}, {'index': 3, 'original': "" You're now a young adult, but you're going to die."", 'trimmed': ""You're now a young adult, but you're going to die."", 'probability': 4.833437857367739e-17}, {'index': 4, 'original': '\n\nThe story follows the lives of three generations of women, and how they deal with the fact that they are immortal.', 'trimmed': 'The story follows the lives of three generations of women, and how they deal with the fact that they are immortal.', 'probability': 1.2024081275182962e-17}]",0,,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1629434795526,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,4,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1629434795643,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,3,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1629434797357,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,4,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1629434798073,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,3,5,30,0.3,1,0,0,9
10,suggestion-hover,user,1629434798523,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,2,5,30,0.3,1,0,0,10
11,suggestion-hover,user,1629434799177,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,1,5,30,0.3,1,0,0,11
12,suggestion-hover,user,1629434800255,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,2,5,30,0.3,1,0,0,12
13,suggestion-hover,user,1629434802901,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,3,5,30,0.3,1,0,0,13
14,suggestion-select,user,1629434805876,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,3,5,30,0.3,1,0,0,14
15,suggestion-close,api,1629434805877,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,3,5,30,0.3,1,0,0,15
16,text-insert,api,1629434805894,"{'ops': [{'retain': 292}, {'insert': "" You're now a young adult, but you're going to die.""}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. You're now a young adult, but you're going to die.",343,[],0,3,5,30,0.3,1,0,0,16
17,cursor-backward,user,1629434808389,,"{'index': 293, 'length': 0}","When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. You're now a young adult, but you're going to die.",293,[],0,3,5,30,0.3,1,0,0,17
18,text-insert,user,1629434808673,"{'ops': [{'retain': 293}, {'insert': '\n'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 
You're now a young adult, but you're going to die.",293,[],0,3,5,30,0.3,1,0,0,18
19,text-insert,user,1629434808980,"{'ops': [{'retain': 294}, {'insert': '\n'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die.",294,[],0,3,5,30,0.3,1,0,0,19
20,cursor-forward,user,1629434809573,,"{'index': 345, 'length': 0}","When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die.",345,[],0,3,5,30,0.3,1,0,0,20
21,text-insert,user,1629434810298,"{'ops': [{'retain': 345}, {'insert': ' '}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. ",346,[],0,3,5,30,0.3,1,0,0,21
22,text-insert,user,1629434810949,"{'ops': [{'retain': 346}, {'insert': 'N'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. N",347,[],0,3,5,30,0.3,1,0,0,22
23,text-insert,user,1629434811171,"{'ops': [{'retain': 347}, {'insert': 'o'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. No",348,[],0,3,5,30,0.3,1,0,0,23
24,text-insert,user,1629434811294,"{'ops': [{'retain': 348}, {'insert': 'w'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now",349,[],0,3,5,30,0.3,1,0,0,24
25,text-insert,user,1629434811394,"{'ops': [{'retain': 349}, {'insert': ' '}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now ",350,[],0,3,5,30,0.3,1,0,0,25
26,text-insert,user,1629434811534,"{'ops': [{'retain': 350}, {'insert': 'y'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now y",351,[],0,3,5,30,0.3,1,0,0,26
27,text-insert,user,1629434811605,"{'ops': [{'retain': 351}, {'insert': 'o'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now yo",352,[],0,3,5,30,0.3,1,0,0,27
28,text-insert,user,1629434811767,"{'ops': [{'retain': 352}, {'insert': 'u'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you",353,[],0,3,5,30,0.3,1,0,0,28
29,text-insert,user,1629434811866,"{'ops': [{'retain': 353}, {'insert': ' '}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you ",354,[],0,3,5,30,0.3,1,0,0,29
30,text-insert,user,1629434811952,"{'ops': [{'retain': 354}, {'insert': 'm'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you m",355,[],0,3,5,30,0.3,1,0,0,30
31,text-insert,user,1629434812116,"{'ops': [{'retain': 355}, {'insert': 'i'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you mi",356,[],0,3,5,30,0.3,1,0,0,31
32,text-insert,user,1629434812184,"{'ops': [{'retain': 356}, {'insert': 'g'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you mig",357,[],0,3,5,30,0.3,1,0,0,32
33,text-insert,user,1629434812280,"{'ops': [{'retain': 357}, {'insert': 'h'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you migh",358,[],0,3,5,30,0.3,1,0,0,33
34,text-insert,user,1629434812364,"{'ops': [{'retain': 358}, {'insert': 't'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might",359,[],0,3,5,30,0.3,1,0,0,34
35,text-insert,user,1629434812432,"{'ops': [{'retain': 359}, {'insert': ' '}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might ",360,[],0,3,5,30,0.3,1,0,0,35
36,text-insert,user,1629434812598,"{'ops': [{'retain': 360}, {'insert': 'b'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might b",361,[],0,3,5,30,0.3,1,0,0,36
37,text-insert,user,1629434812679,"{'ops': [{'retain': 361}, {'insert': 'e'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might be",362,[],0,3,5,30,0.3,1,0,0,37
38,text-insert,user,1629434812770,"{'ops': [{'retain': 362}, {'insert': ' '}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might be ",363,[],0,3,5,30,0.3,1,0,0,38
39,text-insert,user,1629434812865,"{'ops': [{'retain': 363}, {'insert': 't'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might be t",364,[],0,3,5,30,0.3,1,0,0,39
40,text-insert,user,1629434812998,"{'ops': [{'retain': 364}, {'insert': 'h'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might be th",365,[],0,3,5,30,0.3,1,0,0,40
41,text-insert,user,1629434813068,"{'ops': [{'retain': 365}, {'insert': 'i'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the ""Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. 

You're now a young adult, but you're going to die. Now you might be thi",366,[],0,3,5,30,0.3,1,0,0,41
