,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629107738611,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again.",271,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629107744217,"{'ops': [{'retain': 271}, {'insert': ' '}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,,5,30,0.75,1,0,1,1
2,suggestion-get,user,1629107774827,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,,5,30,0.75,1,0,1,2
3,suggestion-open,api,1629107776813,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,"[{'index': 0, 'original': '\n\nNow, after hundreds of years of sleeping, the descendants of these survivors have unwittingly begun to resurrect their magical abilities.', 'trimmed': 'Now, after hundreds of years of sleeping, the descendants of these survivors have unwittingly begun to resurrect their magical abilities.', 'probability': 2.2941615092822713e-28}, {'index': 1, 'original': 'A power that could transform the planet.', 'trimmed': 'A power that could transform the planet.', 'probability': 3.604510332590691e-25}, {'index': 2, 'original': ""\n\nIn Poto & Cabengo, two twins share a bond so close that they can't be separated."", 'trimmed': ""In Poto & Cabengo, two twins share a bond so close that they can't be separated."", 'probability': 6.559379115395285e-26}, {'index': 3, 'original': '\n\nThe world is still recovering from the most devastating war it has ever known.', 'trimmed': 'The world is still recovering from the most devastating war it has ever known.', 'probability': 4.1323140018818587e-22}, {'index': 4, 'original': '\n\nThe power of Invokers.""', 'trimmed': 'The power of Invokers.""', 'probability': 2.318893186676102e-26}]",0,,5,30,0.75,1,0,1,3
4,suggestion-hover,user,1629107777685,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,3,5,30,0.75,1,0,1,4
5,suggestion-hover,user,1629107777696,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,4,5,30,0.75,1,0,1,5
6,suggestion-hover,user,1629107777993,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,4,5,30,0.75,1,0,1,6
7,suggestion-hover,user,1629107778009,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,3,5,30,0.75,1,0,1,7
8,suggestion-hover,user,1629107778027,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,2,5,30,0.75,1,0,1,8
9,suggestion-hover,user,1629107778531,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,1,5,30,0.75,1,0,1,9
10,suggestion-get,user,1629107778921,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,1,5,30,0.75,1,0,1,10
11,suggestion-close,api,1629107778925,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. ",272,[],0,1,5,30,0.75,1,0,1,11
12,text-insert,user,1629107780980,"{'ops': [{'retain': 272}, {'insert': '\n'}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
",272,[],0,1,5,30,0.75,1,0,1,12
13,suggestion-open,api,1629107781294,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
",273,"[{'index': 0, 'original': 'Follow their struggle to re-unite the human race and rediscover an ancient magic that can save, or destroy, the world, in this magical', 'trimmed': 'Follow their struggle to re-unite the human race and rediscover an ancient magic that can save, or destroy, the world, in this magical', 'probability': 1.994054648004867e-24}, {'index': 1, 'original': 'But can this new power save humanity from total extinction?', 'trimmed': 'But can this new power save humanity from total extinction?', 'probability': 1.8587344082696036e-20}, {'index': 2, 'original': '\n\nThe world is strange and dangerous again, and the Mageverse is reborn.', 'trimmed': 'The world is strange and dangerous again, and the Mageverse is reborn.', 'probability': 2.095504689814686e-28}, {'index': 3, 'original': '\n\nThirteen years later, the Mana Tree blooms once again amidst a war-torn world.', 'trimmed': 'Thirteen years later, the Mana Tree blooms once again amidst a war-torn world.', 'probability': 3.491655706729946e-23}, {'index': 4, 'original': '\n\nSixteen year old Evie is one of only a handful of humans able to tap into the Mana, and she is being trained by the', 'trimmed': 'Sixteen year old Evie is one of only a handful of humans able to tap into the Mana, and she is being trained by the', 'probability': 3.9454224814640276e-22}]",0,1,5,30,0.75,1,0,1,13
14,suggestion-hover,user,1629107782837,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
",273,[],0,0,5,30,0.75,1,0,1,14
15,suggestion-hover,user,1629107783189,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
",273,[],0,1,5,30,0.75,1,0,1,15
16,suggestion-select,user,1629107784292,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
",273,[],0,1,5,30,0.75,1,0,1,16
17,suggestion-close,api,1629107784293,,,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
",273,[],0,1,5,30,0.75,1,0,1,17
18,text-insert,api,1629107784325,"{'ops': [{'retain': 273}, {'insert': 'But can this new power save humanity from total extinction?'}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
But can this new power save humanity from total extinction?",332,[],0,1,5,30,0.75,1,0,1,18
19,cursor-backward,user,1629107787354,,"{'index': 273, 'length': 0}","Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. 
But can this new power save humanity from total extinction?",273,[],0,1,5,30,0.75,1,0,1,19
20,text-delete,user,1629107788307,"{'ops': [{'retain': 272}, {'delete': 1}]}",,"Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. But can this new power save humanity from total extinction?",272,[],0,1,5,30,0.75,1,0,1,20
21,cursor-forward,user,1629107790578,,"{'index': 331, 'length': 0}","Humans once wielded formidable magical power. But with over 7 billion of us on the planet now, Mana has spread far too thinly to have any effect. When hostile aliens reduce humanity to a mere fraction, the survivors discover an old power has begun to reawaken once again. But can this new power save humanity from total extinction?",331,[],0,1,5,30,0.75,1,0,1,21
